,,LEASE,PERIOD,GROSS OIL,GROSS GAS,GROSS WTR
Foraker 1207 #3WH-11,157,,,,,
Foraker 1207 #4LMH-11,0,FORAKER 1207 4LMH-11,2019-04-04,66.14,0.0,0.0
Foraker 1207 #4LMH-11,1,FORAKER 1207 4LMH-11,2019-04-05,233.93,144.0,232.0
Foraker 1207 #4LMH-11,2,FORAKER 1207 4LMH-11,2019-04-06,337.68,898.0,749.0
Foraker 1207 #4LMH-11,3,FORAKER 1207 4LMH-11,2019-04-07,479.69,1152.0,783.0
Foraker 1207 #4LMH-11,4,FORAKER 1207 4LMH-11,2019-04-08,506.85,1606.0,657.0
Foraker 1207 #4LMH-11,5,FORAKER 1207 4LMH-11,2019-04-09,618.26,1455.0,966.0
Foraker 1207 #4LMH-11,6,FORAKER 1207 4LMH-11,2019-04-10,664.89,1906.0,1109.0
Foraker 1207 #4LMH-11,7,FORAKER 1207 4LMH-11,2019-04-11,827.82,2050.0,1140.0
Foraker 1207 #4LMH-11,8,FORAKER 1207 4LMH-11,2019-04-12,658.63,2283.0,1117.0
Foraker 1207 #4LMH-11,9,FORAKER 1207 4LMH-11,2019-04-13,754.01,2556.0,1161.0
Foraker 1207 #4LMH-11,10,FORAKER 1207 4LMH-11,2019-04-14,765.86,2652.0,1082.0
Foraker 1207 #4LMH-11,11,FORAKER 1207 4LMH-11,2019-04-15,719.89,2790.0,972.0
Foraker 1207 #4LMH-11,12,FORAKER 1207 4LMH-11,2019-04-16,662.82,2757.0,905.0
Foraker 1207 #4LMH-11,13,FORAKER 1207 4LMH-11,2019-04-17,643.32,2579.0,778.0
Foraker 1207 #4LMH-11,14,FORAKER 1207 4LMH-11,2019-04-18,669.77,2650.0,746.0
Foraker 1207 #4LMH-11,15,FORAKER 1207 4LMH-11,2019-04-19,655.16,2886.0,751.0
Foraker 1207 #4LMH-11,16,FORAKER 1207 4LMH-11,2019-04-20,607.81,2926.0,672.0
Foraker 1207 #4LMH-11,17,FORAKER 1207 4LMH-11,2019-04-21,591.09,2882.0,633.0
Foraker 1207 #4LMH-11,18,FORAKER 1207 4LMH-11,2019-04-22,564.63,2857.0,631.0
Foraker 1207 #4LMH-11,19,FORAKER 1207 4LMH-11,2019-04-23,553.5,2832.0,594.0
Foraker 1207 #4LMH-11,20,FORAKER 1207 4LMH-11,2019-04-24,530.53,2772.0,568.0
Foraker 1207 #4LMH-11,21,FORAKER 1207 4LMH-11,2019-04-25,509.64,2839.0,533.0
Foraker 1207 #4LMH-11,22,FORAKER 1207 4LMH-11,2019-04-26,483.18,2834.0,515.0
Foraker 1207 #4LMH-11,23,FORAKER 1207 4LMH-11,2019-04-27,475.52,2775.0,507.0
Foraker 1207 #4LMH-11,24,FORAKER 1207 4LMH-11,2019-04-28,454.65,2811.0,522.0
Foraker 1207 #4LMH-11,25,FORAKER 1207 4LMH-11,2019-04-29,440.02,2778.0,482.0
Foraker 1207 #4LMH-11,26,FORAKER 1207 4LMH-11,2019-04-30,428.87,2745.0,463.0
Foraker 1207 #4LMH-11,27,FORAKER 1207 4LMH-11,2019-05-01,425.39,2727.0,442.0
Foraker 1207 #4LMH-11,28,FORAKER 1207 4LMH-11,2019-05-02,408.69,2758.0,430.0
Foraker 1207 #4LMH-11,29,FORAKER 1207 4LMH-11,2019-05-03,390.59,2781.0,415.0
Foraker 1207 #4LMH-11,30,FORAKER 1207 4LMH-11,2019-05-04,380.84,2737.0,405.0
Foraker 1207 #4LMH-11,31,FORAKER 1207 4LMH-11,2019-05-05,369.0,2711.0,383.0
Foraker 1207 #4LMH-11,32,FORAKER 1207 4LMH-11,2019-05-06,359.96,2670.0,381.0
Foraker 1207 #4LMH-11,33,FORAKER 1207 4LMH-11,2019-05-07,356.47,2641.0,361.0
Foraker 1207 #4LMH-11,34,FORAKER 1207 4LMH-11,2019-05-08,335.58,2629.0,356.0
Foraker 1207 #4LMH-11,35,FORAKER 1207 4LMH-11,2019-05-09,331.41,2600.0,352.0
Foraker 1207 #4LMH-11,36,FORAKER 1207 4LMH-11,2019-05-10,325.15,2576.0,332.0
Foraker 1207 #4LMH-11,37,FORAKER 1207 4LMH-11,2019-05-11,326.54,2558.0,318.0
Foraker 1207 #4LMH-11,38,FORAKER 1207 4LMH-11,2019-05-12,304.96,2549.0,313.0
Foraker 1207 #4LMH-11,39,FORAKER 1207 4LMH-11,2019-05-13,288.93,2526.0,301.0
Foraker 1207 #4LMH-11,40,FORAKER 1207 4LMH-11,2019-05-14,289.64,2511.0,303.0
Foraker 1207 #4LMH-11,41,FORAKER 1207 4LMH-11,2019-05-15,274.31,2485.0,291.0
Foraker 1207 #4LMH-11,42,FORAKER 1207 4LMH-11,2019-05-16,278.49,2436.0,285.0
Foraker 1207 #4LMH-11,43,FORAKER 1207 4LMH-11,2019-05-17,272.23,2426.0,278.0
Foraker 1207 #4LMH-11,44,FORAKER 1207 4LMH-11,2019-05-18,265.26,2407.0,268.0
Foraker 1207 #4LMH-11,45,FORAKER 1207 4LMH-11,2019-05-19,256.21,2363.0,232.0
Foraker 1207 #4LMH-11,46,FORAKER 1207 4LMH-11,2019-05-20,252.04,2315.0,250.0
Foraker 1207 #4LMH-11,47,FORAKER 1207 4LMH-11,2019-05-21,247.86,2331.0,252.0
Foraker 1207 #4LMH-11,48,FORAKER 1207 4LMH-11,2019-05-22,240.2,2326.0,254.0
Foraker 1207 #4LMH-11,49,FORAKER 1207 4LMH-11,2019-05-23,236.72,2412.0,244.0
Foraker 1207 #4LMH-11,50,FORAKER 1207 4LMH-11,2019-05-24,225.59,2071.0,233.0
Foraker 1207 #4LMH-11,51,FORAKER 1207 4LMH-11,2019-05-25,222.09,2311.0,225.0
Foraker 1207 #4LMH-11,52,FORAKER 1207 4LMH-11,2019-05-26,225.59,2254.0,221.0
Foraker 1207 #4LMH-11,53,FORAKER 1207 4LMH-11,2019-05-27,219.31,2239.0,217.0
Foraker 1207 #4LMH-11,54,FORAKER 1207 4LMH-11,2019-05-28,211.65,2242.0,202.0
Foraker 1207 #4LMH-11,55,FORAKER 1207 4LMH-11,2019-05-29,207.47,2171.0,208.0
Foraker 1207 #4LMH-11,56,FORAKER 1207 4LMH-11,2019-05-30,217.23,2090.0,214.0
Foraker 1207 #4LMH-11,57,FORAKER 1207 4LMH-11,2019-05-31,199.82,2157.0,220.0
Foraker 1207 #4LMH-11,58,FORAKER 1207 4LMH-11,2019-06-01,197.73,2141.0,215.0
Foraker 1207 #4LMH-11,59,FORAKER 1207 4LMH-11,2019-06-02,184.5,2108.0,209.0
Foraker 1207 #4LMH-11,60,FORAKER 1207 4LMH-11,2019-06-03,203.3,2109.0,199.0
Foraker 1207 #4LMH-11,61,FORAKER 1207 4LMH-11,2019-06-04,204.0,2108.0,199.0
Foraker 1207 #4LMH-11,62,FORAKER 1207 4LMH-11,2019-06-05,199.81,2083.0,188.0
Foraker 1207 #4LMH-11,63,FORAKER 1207 4LMH-11,2019-06-06,198.43,2067.0,188.0
Foraker 1207 #4LMH-11,64,FORAKER 1207 4LMH-11,2019-06-07,149.69,2104.0,192.0
Foraker 1207 #4LMH-11,65,FORAKER 1207 4LMH-11,2019-06-08,181.01,1969.0,190.0
Foraker 1207 #4LMH-11,66,FORAKER 1207 4LMH-11,2019-06-09,162.23,2019.0,178.0
Foraker 1207 #4LMH-11,67,FORAKER 1207 4LMH-11,2019-06-10,190.07,2017.0,164.0
Foraker 1207 #4LMH-11,68,FORAKER 1207 4LMH-11,2019-06-11,181.01,2185.0,167.0
Foraker 1207 #4LMH-11,69,FORAKER 1207 4LMH-11,2019-06-12,172.68,2163.0,204.0
Foraker 1207 #4LMH-11,70,FORAKER 1207 4LMH-11,2019-06-13,169.87,2181.0,181.0
Foraker 1207 #4LMH-11,71,FORAKER 1207 4LMH-11,2019-06-14,174.76,2145.0,179.0
Foraker 1207 #4LMH-11,72,FORAKER 1207 4LMH-11,2019-06-15,158.74,2134.0,175.0
Foraker 1207 #4LMH-11,73,FORAKER 1207 4LMH-11,2019-06-16,174.76,2153.0,180.0
Foraker 1207 #4LMH-11,74,FORAKER 1207 4LMH-11,2019-06-17,167.79,2315.0,159.0
Foraker 1207 #4LMH-11,75,FORAKER 1207 4LMH-11,2019-06-18,158.05,2086.0,163.0
Foraker 1207 #4LMH-11,76,FORAKER 1207 4LMH-11,2019-06-19,144.11,2032.0,155.0
Foraker 1207 #4LMH-11,77,FORAKER 1207 4LMH-11,2019-06-20,213.04,1973.0,160.0
Foraker 1207 #4LMH-11,78,FORAKER 1207 4LMH-11,2019-06-21,149.69,2438.0,159.0
Foraker 1207 #4LMH-11,79,FORAKER 1207 4LMH-11,2019-06-22,169.87,1780.0,157.0
Foraker 1207 #4LMH-11,80,FORAKER 1207 4LMH-11,2019-06-23,111.4,2394.0,147.0
Foraker 1207 #4LMH-11,81,FORAKER 1207 4LMH-11,2019-06-24,141.33,1576.0,144.0
Foraker 1207 #4LMH-11,82,FORAKER 1207 4LMH-11,2019-06-25,140.64,2012.0,138.0
Foraker 1207 #4LMH-11,83,FORAKER 1207 4LMH-11,2019-06-26,139.96,2033.0,141.0
Foraker 1207 #4LMH-11,84,FORAKER 1207 4LMH-11,2019-06-27,0.0,1981.0,135.0
Foraker 1207 #4LMH-11,85,FORAKER 1207 4LMH-11,2019-07-01,90.51,2081.0,163.0
Foraker 1207 #4LMH-11,86,FORAKER 1207 4LMH-11,2019-07-02,140.63,1601.0,157.0
Foraker 1207 #4LMH-11,87,FORAKER 1207 4LMH-11,2019-07-03,124.63,1972.0,162.0
Foraker 1207 #4LMH-11,88,FORAKER 1207 4LMH-11,2019-07-04,116.96,1954.0,160.0
Foraker 1207 #4LMH-11,89,FORAKER 1207 4LMH-11,2019-07-05,124.62,1954.0,153.0
Foraker 1207 #4LMH-11,90,FORAKER 1207 4LMH-11,2019-07-06,116.27,2192.0,152.0
Foraker 1207 #4LMH-11,91,FORAKER 1207 4LMH-11,2019-07-07,100.95,1875.0,149.0
Foraker 1207 #4LMH-11,92,FORAKER 1207 4LMH-11,2019-07-08,112.1,1864.0,145.0
Foraker 1207 #4LMH-11,93,FORAKER 1207 4LMH-11,2019-07-09,101.65,1776.0,142.0
Foraker 1207 #4LMH-11,94,FORAKER 1207 4LMH-11,2019-07-10,114.18,1857.0,145.0
Foraker 1207 #4LMH-11,95,FORAKER 1207 4LMH-11,2019-07-11,117.67,1902.0,141.0
Foraker 1207 #4LMH-11,96,FORAKER 1207 4LMH-11,2019-07-12,124.61,2080.0,137.0
Foraker 1207 #4LMH-11,97,FORAKER 1207 4LMH-11,2019-07-13,107.22,2006.0,131.0
Foraker 1207 #4LMH-11,98,FORAKER 1207 4LMH-11,2019-07-14,86.34,1979.0,128.0
Foraker 1207 #4LMH-11,99,FORAKER 1207 4LMH-11,2019-07-15,110.0,1419.0,128.0
Foraker 1207 #4LMH-11,100,FORAKER 1207 4LMH-11,2019-07-16,108.61,1639.0,126.0
Foraker 1207 #4LMH-11,101,FORAKER 1207 4LMH-11,2019-07-17,100.95,1897.0,125.0
Foraker 1207 #4LMH-11,102,FORAKER 1207 4LMH-11,2019-07-18,116.27,1842.0,121.0
Foraker 1207 #4LMH-11,103,FORAKER 1207 4LMH-11,2019-07-19,107.91,1855.0,126.0
Foraker 1207 #4LMH-11,104,FORAKER 1207 4LMH-11,2019-07-20,98.17,1852.0,125.0
Foraker 1207 #4LMH-11,105,FORAKER 1207 4LMH-11,2019-07-21,75.89,1806.0,124.0
Foraker 1207 #4LMH-11,106,FORAKER 1207 4LMH-11,2019-07-22,79.37,1848.0,123.0
Foraker 1207 #4LMH-11,107,FORAKER 1207 4LMH-11,2019-07-23,85.63,1845.34,118.81
Foraker 1207 #4LMH-11,108,FORAKER 1207 4LMH-11,2019-07-24,112.79,1827.08,125.46
Foraker 1207 #4LMH-11,109,FORAKER 1207 4LMH-11,2019-07-25,105.83,1813.2,127.36
Foraker 1207 #4LMH-11,110,FORAKER 1207 4LMH-11,2019-07-26,96.77,1802.14,128.59
Foraker 1207 #4LMH-11,111,FORAKER 1207 4LMH-11,2019-07-27,95.38,1784.19,125.82
Foraker 1207 #4LMH-11,112,FORAKER 1207 4LMH-11,2019-07-28,91.21,1772.41,126.08
Foraker 1207 #4LMH-11,113,FORAKER 1207 4LMH-11,2019-07-29,98.87,1741.43,127.24
Foraker 1207 #4LMH-11,114,FORAKER 1207 4LMH-11,2019-07-30,89.13,1716.84,120.39
Foraker 1207 #4LMH-11,115,FORAKER 1207 4LMH-11,2019-07-31,98.16,1729.79,119.47
Foraker 1207 #4LMH-11,116,,,,,
Foraker 1207 #4LMH-11,117,,,,,
Foraker 1207 #4LMH-11,118,,,,,
Foraker 1207 #4LMH-11,119,,,,,
Foraker 1207 #4LMH-11,120,,,,,
Foraker 1207 #4LMH-11,121,,,,,
Foraker 1207 #4LMH-11,122,,,,,
Foraker 1207 #4LMH-11,123,,,,,
Foraker 1207 #4LMH-11,124,,,,,
Foraker 1207 #4LMH-11,125,,,,,
Foraker 1207 #4LMH-11,126,,,,,
Foraker 1207 #4LMH-11,127,,,,,
Foraker 1207 #4LMH-11,128,,,,,
Foraker 1207 #4LMH-11,129,,,,,
Foraker 1207 #4LMH-11,130,,,,,
Foraker 1207 #4LMH-11,131,,,,,
Foraker 1207 #4LMH-11,132,,,,,
Foraker 1207 #4LMH-11,133,,,,,
Foraker 1207 #4LMH-11,134,,,,,
Foraker 1207 #4LMH-11,135,,,,,
Foraker 1207 #4LMH-11,136,,,,,
Foraker 1207 #4LMH-11,137,,,,,
Foraker 1207 #4LMH-11,138,,,,,
Foraker 1207 #4LMH-11,139,,,,,
Foraker 1207 #4LMH-11,140,,,,,
Foraker 1207 #4LMH-11,141,,,,,
Foraker 1207 #4LMH-11,142,,,,,
Foraker 1207 #4LMH-11,143,,,,,
Foraker 1207 #4LMH-11,144,,,,,
Foraker 1207 #4LMH-11,145,,,,,
Foraker 1207 #4LMH-11,146,,,,,
Foraker 1207 #4LMH-11,147,,,,,
Foraker 1207 #4LMH-11,148,,,,,
Foraker 1207 #4LMH-11,149,,,,,
Foraker 1207 #4LMH-11,150,,,,,
Foraker 1207 #4LMH-11,151,,,,,
Foraker 1207 #5WH-11,0,FORAKER 1207 5WH-11,2019-04-04,125.26,34.0,833.0
Foraker 1207 #5WH-11,1,FORAKER 1207 5WH-11,2019-04-05,128.03,225.0,1312.0
Foraker 1207 #5WH-11,2,FORAKER 1207 5WH-11,2019-04-06,217.8,457.0,2360.0
Foraker 1207 #5WH-11,3,FORAKER 1207 5WH-11,2019-04-07,240.76,630.0,2653.0
Foraker 1207 #5WH-11,4,FORAKER 1207 5WH-11,2019-04-08,290.18,911.0,2794.0
Foraker 1207 #5WH-11,5,FORAKER 1207 5WH-11,2019-04-09,357.67,1109.0,2760.0
Foraker 1207 #5WH-11,6,FORAKER 1207 5WH-11,2019-04-10,400.11,1372.0,2689.0
Foraker 1207 #5WH-11,7,FORAKER 1207 5WH-11,2019-04-11,454.93,1569.0,2610.0
Foraker 1207 #5WH-11,8,FORAKER 1207 5WH-11,2019-04-12,481.58,1811.0,2490.0
Foraker 1207 #5WH-11,9,FORAKER 1207 5WH-11,2019-04-13,466.64,1950.0,2319.0
Foraker 1207 #5WH-11,10,FORAKER 1207 5WH-11,2019-04-14,477.86,2033.0,2142.0
Foraker 1207 #5WH-11,11,FORAKER 1207 5WH-11,2019-04-15,460.55,2123.0,2009.0
Foraker 1207 #5WH-11,12,FORAKER 1207 5WH-11,2019-04-16,442.5,2168.0,1792.0
Foraker 1207 #5WH-11,13,FORAKER 1207 5WH-11,2019-04-17,427.81,2196.0,1697.0
Foraker 1207 #5WH-11,14,FORAKER 1207 5WH-11,2019-04-18,414.04,2201.0,1533.0
Foraker 1207 #5WH-11,15,FORAKER 1207 5WH-11,2019-04-19,414.75,2236.0,1454.0
Foraker 1207 #5WH-11,16,FORAKER 1207 5WH-11,2019-04-20,385.38,2267.0,1317.0
Foraker 1207 #5WH-11,17,FORAKER 1207 5WH-11,2019-04-21,366.61,2210.0,1233.0
Foraker 1207 #5WH-11,18,FORAKER 1207 5WH-11,2019-04-22,364.64,2183.0,1189.0
Foraker 1207 #5WH-11,19,FORAKER 1207 5WH-11,2019-04-23,347.92,2118.0,1113.0
Foraker 1207 #5WH-11,20,FORAKER 1207 5WH-11,2019-04-24,334.7,2175.0,1030.0
Foraker 1207 #5WH-11,21,FORAKER 1207 5WH-11,2019-04-25,320.8,2146.0,971.0
Foraker 1207 #5WH-11,22,FORAKER 1207 5WH-11,2019-04-26,302.69,2418.0,916.0
Foraker 1207 #5WH-11,23,FORAKER 1207 5WH-11,2019-04-27,295.74,2075.0,883.0
Foraker 1207 #5WH-11,24,FORAKER 1207 5WH-11,2019-04-28,290.18,2057.0,888.0
Foraker 1207 #5WH-11,25,FORAKER 1207 5WH-11,2019-04-29,272.78,1999.0,812.0
Foraker 1207 #5WH-11,26,FORAKER 1207 5WH-11,2019-04-30,269.99,1996.0,771.0
Foraker 1207 #5WH-11,27,FORAKER 1207 5WH-11,2019-05-01,262.35,1953.0,757.0
Foraker 1207 #5WH-11,28,FORAKER 1207 5WH-11,2019-05-02,258.15,1935.0,733.0
Foraker 1207 #5WH-11,29,FORAKER 1207 5WH-11,2019-05-03,251.89,1945.0,707.0
Foraker 1207 #5WH-11,30,FORAKER 1207 5WH-11,2019-05-04,246.34,1911.0,691.0
Foraker 1207 #5WH-11,31,FORAKER 1207 5WH-11,2019-05-05,236.6,1903.0,662.0
Foraker 1207 #5WH-11,32,FORAKER 1207 5WH-11,2019-05-06,231.72,1878.0,648.0
Foraker 1207 #5WH-11,33,FORAKER 1207 5WH-11,2019-05-07,226.15,1862.0,643.0
Foraker 1207 #5WH-11,34,FORAKER 1207 5WH-11,2019-05-08,225.46,1842.0,629.0
Foraker 1207 #5WH-11,35,FORAKER 1207 5WH-11,2019-05-09,223.37,1834.0,614.0
Foraker 1207 #5WH-11,36,FORAKER 1207 5WH-11,2019-05-10,219.88,1822.0,589.0
Foraker 1207 #5WH-11,37,FORAKER 1207 5WH-11,2019-05-11,208.76,1812.0,577.0
Foraker 1207 #5WH-11,38,FORAKER 1207 5WH-11,2019-05-12,201.79,1795.0,627.0
Foraker 1207 #5WH-11,39,FORAKER 1207 5WH-11,2019-05-13,202.5,1784.0,551.0
Foraker 1207 #5WH-11,40,FORAKER 1207 5WH-11,2019-05-14,197.62,1769.0,730.0
Foraker 1207 #5WH-11,41,FORAKER 1207 5WH-11,2019-05-15,208.76,1746.0,711.0
Foraker 1207 #5WH-11,42,FORAKER 1207 5WH-11,2019-05-16,187.18,1834.0,694.0
Foraker 1207 #5WH-11,43,FORAKER 1207 5WH-11,2019-05-17,197.63,1820.0,657.0
Foraker 1207 #5WH-11,44,FORAKER 1207 5WH-11,2019-05-18,192.74,1798.0,715.0
Foraker 1207 #5WH-11,45,FORAKER 1207 5WH-11,2019-05-19,185.79,1758.0,699.0
Foraker 1207 #5WH-11,46,FORAKER 1207 5WH-11,2019-05-20,200.41,1756.0,681.0
Foraker 1207 #5WH-11,47,FORAKER 1207 5WH-11,2019-05-21,164.23,1683.0,618.0
Foraker 1207 #5WH-11,48,FORAKER 1207 5WH-11,2019-05-22,180.92,1826.0,589.0
Foraker 1207 #5WH-11,49,FORAKER 1207 5WH-11,2019-05-23,176.05,1810.0,569.0
Foraker 1207 #5WH-11,50,FORAKER 1207 5WH-11,2019-05-24,169.79,1543.0,570.0
Foraker 1207 #5WH-11,51,FORAKER 1207 5WH-11,2019-05-25,167.7,1720.0,526.0
Foraker 1207 #5WH-11,52,FORAKER 1207 5WH-11,2019-05-26,186.49,1680.0,501.0
Foraker 1207 #5WH-11,53,FORAKER 1207 5WH-11,2019-05-27,157.27,1771.0,514.0
Foraker 1207 #5WH-11,54,FORAKER 1207 5WH-11,2019-05-28,167.0,1591.0,506.0
Foraker 1207 #5WH-11,55,FORAKER 1207 5WH-11,2019-05-29,176.75,1669.0,519.0
Foraker 1207 #5WH-11,56,FORAKER 1207 5WH-11,2019-05-30,164.91,1612.0,489.0
Foraker 1207 #5WH-11,57,FORAKER 1207 5WH-11,2019-05-31,159.35,1663.0,503.0
Foraker 1207 #5WH-11,58,FORAKER 1207 5WH-11,2019-06-01,158.67,1643.0,488.0
Foraker 1207 #5WH-11,59,FORAKER 1207 5WH-11,2019-06-02,147.51,1616.0,481.0
Foraker 1207 #5WH-11,60,FORAKER 1207 5WH-11,2019-06-03,156.57,1617.0,467.0
Foraker 1207 #5WH-11,61,FORAKER 1207 5WH-11,2019-06-04,131.51,1623.0,457.0
Foraker 1207 #5WH-11,62,FORAKER 1207 5WH-11,2019-06-05,168.4,1593.0,426.0
Foraker 1207 #5WH-11,63,FORAKER 1207 5WH-11,2019-06-06,164.91,1587.0,400.0
Foraker 1207 #5WH-11,64,FORAKER 1207 5WH-11,2019-06-07,133.61,1559.0,440.0
Foraker 1207 #5WH-11,65,FORAKER 1207 5WH-11,2019-06-08,147.52,1479.0,407.0
Foraker 1207 #5WH-11,66,FORAKER 1207 5WH-11,2019-06-09,136.39,1535.0,393.0
Foraker 1207 #5WH-11,67,FORAKER 1207 5WH-11,2019-06-10,140.56,1536.0,388.0
Foraker 1207 #5WH-11,68,FORAKER 1207 5WH-11,2019-06-11,141.95,1525.0,372.0
Foraker 1207 #5WH-11,69,FORAKER 1207 5WH-11,2019-06-12,141.96,1479.0,359.0
Foraker 1207 #5WH-11,70,FORAKER 1207 5WH-11,2019-06-13,137.08,1509.0,364.0
Foraker 1207 #5WH-11,71,FORAKER 1207 5WH-11,2019-06-14,155.87,1546.0,363.0
Foraker 1207 #5WH-11,72,FORAKER 1207 5WH-11,2019-06-15,134.31,1702.0,371.0
Foraker 1207 #5WH-11,73,FORAKER 1207 5WH-11,2019-06-16,139.17,1649.0,380.0
Foraker 1207 #5WH-11,74,FORAKER 1207 5WH-11,2019-06-17,141.96,1651.0,329.0
Foraker 1207 #5WH-11,75,FORAKER 1207 5WH-11,2019-06-18,123.86,1457.0,353.0
Foraker 1207 #5WH-11,76,FORAKER 1207 5WH-11,2019-06-19,128.04,1356.0,325.0
Foraker 1207 #5WH-11,77,FORAKER 1207 5WH-11,2019-06-20,126.65,1292.0,336.0
Foraker 1207 #5WH-11,78,FORAKER 1207 5WH-11,2019-06-21,115.51,1558.0,325.0
Foraker 1207 #5WH-11,79,FORAKER 1207 5WH-11,2019-06-22,125.96,1167.0,309.0
Foraker 1207 #5WH-11,80,FORAKER 1207 5WH-11,2019-06-23,106.46,1511.0,297.0
Foraker 1207 #5WH-11,81,FORAKER 1207 5WH-11,2019-06-24,137.78,1086.0,312.0
Foraker 1207 #5WH-11,82,FORAKER 1207 5WH-11,2019-06-25,102.99,1393.0,317.0
Foraker 1207 #5WH-11,83,FORAKER 1207 5WH-11,2019-06-26,119.0,1380.0,302.0
Foraker 1207 #5WH-11,84,FORAKER 1207 5WH-11,2019-06-27,0.0,1322.0,294.0
Foraker 1207 #5WH-11,85,FORAKER 1207 5WH-11,2019-07-01,14.62,1352.0,272.0
Foraker 1207 #5WH-11,86,FORAKER 1207 5WH-11,2019-07-02,119.69,1034.0,292.0
Foraker 1207 #5WH-11,87,FORAKER 1207 5WH-11,2019-07-03,103.68,1249.0,561.0
Foraker 1207 #5WH-11,88,FORAKER 1207 5WH-11,2019-07-04,107.16,1231.0,457.0
Foraker 1207 #5WH-11,89,FORAKER 1207 5WH-11,2019-07-05,115.51,1222.0,406.0
Foraker 1207 #5WH-11,90,FORAKER 1207 5WH-11,2019-07-06,99.5,1360.0,398.0
Foraker 1207 #5WH-11,91,FORAKER 1207 5WH-11,2019-07-07,78.63,1151.0,366.0
Foraker 1207 #5WH-11,92,FORAKER 1207 5WH-11,2019-07-08,88.38,1128.0,366.0
Foraker 1207 #5WH-11,93,FORAKER 1207 5WH-11,2019-07-09,149.61,1060.0,347.0
Foraker 1207 #5WH-11,94,FORAKER 1207 5WH-11,2019-07-10,103.68,1095.0,346.0
Foraker 1207 #5WH-11,95,FORAKER 1207 5WH-11,2019-07-11,98.8,1121.0,340.0
Foraker 1207 #5WH-11,96,FORAKER 1207 5WH-11,2019-07-12,107.87,1129.0,286.0
Foraker 1207 #5WH-11,97,FORAKER 1207 5WH-11,2019-07-13,89.76,1147.0,298.0
Foraker 1207 #5WH-11,98,FORAKER 1207 5WH-11,2019-07-14,73.07,890.0,271.0
Foraker 1207 #5WH-11,99,FORAKER 1207 5WH-11,2019-07-15,91.15,738.0,261.0
Foraker 1207 #5WH-11,100,FORAKER 1207 5WH-11,2019-07-16,88.38,767.0,191.0
Foraker 1207 #5WH-11,101,FORAKER 1207 5WH-11,2019-07-17,74.45,863.0,163.0
Foraker 1207 #5WH-11,102,FORAKER 1207 5WH-11,2019-07-18,89.77,736.0,154.0
Foraker 1207 #5WH-11,103,FORAKER 1207 5WH-11,2019-07-19,82.81,703.0,157.0
Foraker 1207 #5WH-11,104,FORAKER 1207 5WH-11,2019-07-20,79.32,654.0,152.0
Foraker 1207 #5WH-11,105,FORAKER 1207 5WH-11,2019-07-21,0.7,485.0,126.0
Foraker 1207 #5WH-11,106,FORAKER 1207 5WH-11,2019-07-22,0.0,123.0,34.0
Foraker 1207 #5WH-11,107,FORAKER 1207 5WH-11,2019-07-23,0.0,0.0,1.13
Foraker 1207 #5WH-11,108,FORAKER 1207 5WH-11,2019-07-24,16.7,34.46,2.66
Foraker 1207 #5WH-11,109,FORAKER 1207 5WH-11,2019-07-25,68.89,61.12,8.51
Foraker 1207 #5WH-11,110,FORAKER 1207 5WH-11,2019-07-26,29.92,33.2,142.73
Foraker 1207 #5WH-11,111,FORAKER 1207 5WH-11,2019-07-27,66.11,167.1,323.33
Foraker 1207 #5WH-11,112,FORAKER 1207 5WH-11,2019-07-28,73.77,281.88,250.21
Foraker 1207 #5WH-11,113,FORAKER 1207 5WH-11,2019-07-29,84.2,527.15,331.86
Foraker 1207 #5WH-11,114,FORAKER 1207 5WH-11,2019-07-30,81.41,624.03,288.95
Foraker 1207 #5WH-11,115,FORAKER 1207 5WH-11,2019-07-31,82.11,716.22,260.63
Foraker 1207 #5WH-11,116,,,,,
Foraker 1207 #5WH-11,117,,,,,
Foraker 1207 #5WH-11,118,,,,,
Foraker 1207 #5WH-11,119,,,,,
Foraker 1207 #5WH-11,120,,,,,
Foraker 1207 #5WH-11,121,,,,,
Foraker 1207 #5WH-11,122,,,,,
Foraker 1207 #5WH-11,123,,,,,
Foraker 1207 #5WH-11,124,,,,,
Foraker 1207 #5WH-11,125,,,,,
Foraker 1207 #5WH-11,126,,,,,
Foraker 1207 #5WH-11,127,,,,,
Foraker 1207 #5WH-11,128,,,,,
Foraker 1207 #5WH-11,129,,,,,
Foraker 1207 #5WH-11,130,,,,,
Foraker 1207 #5WH-11,131,,,,,
Foraker 1207 #5WH-11,132,,,,,
Foraker 1207 #5WH-11,133,,,,,
Foraker 1207 #5WH-11,134,,,,,
Foraker 1207 #5WH-11,135,,,,,
Foraker 1207 #5WH-11,136,,,,,
Foraker 1207 #5WH-11,137,,,,,
Foraker 1207 #5WH-11,138,,,,,
Foraker 1207 #5WH-11,139,,,,,
Foraker 1207 #5WH-11,140,,,,,
Foraker 1207 #5WH-11,141,,,,,
Foraker 1207 #5WH-11,142,,,,,
Foraker 1207 #5WH-11,143,,,,,
Foraker 1207 #5WH-11,144,,,,,
Foraker 1207 #5WH-11,145,,,,,
Foraker 1207 #5WH-11,146,,,,,
Foraker 1207 #5WH-11,147,,,,,
Foraker 1207 #5WH-11,148,,,,,
Foraker 1207 #5WH-11,149,,,,,
Foraker 1207 #5WH-11,150,,,,,
Foraker 1207 #5WH-11,151,,,,,
Foraker 1207 #5WH-11,152,,,,,
