,Well,Period,OIL,GAS,Delta Days,Gross WTR,Liquid Rate,Cum Oil,Cum Gas,Cum WTR,Cum Liquid,WCT,GOR,MBT Qo,MBT Qw,MBT Ql,Days Online,BHP AVG
1038,FORAKER 1207 3WH-11,2019-09-09,36.78,1068.0,1,,36.78,22233.069999999985,197380.97,103313.73412727269,125546.80412727282,0.0,29.037520391517127,604.4880369766173,,3413.453075782295,167.0,
1039,FORAKER 1207 3WH-11,2019-09-10,84.68,525.9,1,,84.68,22317.749999999985,197906.87,103313.73412727269,125631.48412727281,0.0,6.210439300897495,263.553967879074,,1483.6027884656685,168.0,
1040,FORAKER 1207 3WH-11,2019-09-11,78.41,1144.2,1,,78.41,22396.159999999985,199051.07,103313.73412727269,125709.89412727281,0.0,14.592526463461294,285.6288738681289,,1603.238032486581,169.0,
1041,FORAKER 1207 3WH-11,2019-09-12,83.28,1179.0,1,,83.28,22479.439999999984,200230.07,103313.73412727269,125793.17412727281,0.0,14.157060518731988,269.92603266090276,,1510.484799799145,170.0,
1042,FORAKER 1207 3WH-11,2019-09-13,79.8,1199.0,1,,79.8,22559.239999999983,201429.07,103313.73412727269,125872.97412727281,0.0,15.025062656641605,282.6972431077692,,1577.3555655046719,171.0,
1043,FORAKER 1207 3WH-11,2019-09-14,96.46,1223.6,1,,96.46,22655.699999999983,202652.67,103313.73412727269,125969.43412727282,0.0,12.685050798258345,234.8714493054114,,1305.9240527397142,172.0,
1044,FORAKER 1207 3WH-11,2019-09-15,49.95,1198.0,1,,49.95,22705.649999999983,203850.67,103313.73412727269,126019.38412727282,0.0,23.983983983983983,454.5675675675672,,2522.910593138595,173.0,
1045,FORAKER 1207 3WH-11,2019-09-16,83.96,1243.5,1,,83.96,22789.609999999982,205094.17,103313.73412727269,126103.34412727282,0.0,14.810624106717485,271.4341353025248,,1501.9454993719967,174.0,
1046,FORAKER 1207 3WH-11,2019-09-17,64.53,1203.0,1,,64.53,22854.13999999998,206297.17,103313.73412727269,126167.87412727282,0.0,18.642491864249187,354.16302494963554,,1955.181684910473,175.0,
1047,FORAKER 1207 3WH-11,2019-09-18,74.94,1218.9,1,,74.94,22929.07999999998,207516.07,103313.73412727269,126242.81412727282,0.0,16.265012009607688,305.9658393381369,,1684.5851898488502,176.0,
1048,FORAKER 1207 3WH-11,2019-09-19,85.36,1251.0,1,,85.36,23014.43999999998,208767.07,103313.73412727269,126328.17412727282,0.0,14.655576382380506,269.61621368322375,,1479.9458074891381,177.0,
1049,FORAKER 1207 3WH-11,2019-09-20,75.64,1112.0,1,,75.64,23090.07999999998,209879.07,103313.73412727269,126403.81412727282,0.0,14.701216287678477,305.2628239026967,,1671.123930820635,178.0,
1050,FORAKER 1207 3WH-11,2019-09-21,73.56,1317.0,1,,73.56,23163.63999999998,211196.07,103313.73412727269,126477.37412727282,0.0,17.903752039151712,314.8945078847197,,1719.3770272875588,179.0,
1051,FORAKER 1207 3WH-11,2019-09-22,70.79,1269.0,1,,70.79,23234.429999999982,212465.07,103313.73412727269,126548.16412727282,0.0,17.92626077129538,328.2162734849552,,1787.655941902427,180.0,
1052,FORAKER 1207 3WH-11,2019-09-23,95.08,1218.0,1,,95.08,23329.509999999984,213683.07,103313.73412727269,126643.24412727282,0.0,12.810265039966344,245.3671644930583,,1331.9651254446026,181.0,
1053,FORAKER 1207 3WH-11,2019-09-24,70.78,1214.0,1,,70.78,23400.289999999983,214897.07,103313.73412727269,126714.02412727282,0.0,17.151737779033624,330.6059621361964,,1790.2518243468892,182.0,
1054,FORAKER 1207 3WH-11,2019-09-25,46.5,1195.4,1,,46.5,23446.789999999983,216092.47,103313.73412727269,126760.52412727282,0.0,25.707526881720433,504.2320430107523,,2726.032776930598,183.0,
1055,FORAKER 1207 3WH-11,2019-09-26,74.25,1083.5,1,,74.25,23521.039999999983,217175.97,103313.73412727269,126834.77412727282,0.0,14.592592592592593,316.7816835016833,,1708.2124461585565,184.0,
1056,FORAKER 1207 3WH-11,2019-09-27,88.14,1162.0,1,,88.14,23609.179999999982,218337.97,103313.73412727269,126922.91412727282,0.0,13.183571590651237,267.85999546176515,,1440.0149095447337,185.0,
1057,FORAKER 1207 3WH-11,2019-09-28,57.59,1160.2,1,,57.59,23666.769999999982,219498.17,103313.73412727269,126980.50412727281,0.0,20.14585865601667,410.9527695780514,,2204.9054371813304,186.0,
1058,FORAKER 1207 3WH-11,2019-09-29,66.61,1173.5,1,,66.61,23733.379999999983,220671.67,103313.73412727269,127047.11412727281,0.0,17.61747485362558,356.3035580243204,,1907.327940658652,187.0,
1059,FORAKER 1207 3WH-11,2019-09-30,68.0,1158.4,1,,68.0,23801.379999999983,221830.07,103313.73412727269,127115.11412727281,0.0,17.03529411764706,350.0202941176468,,1869.3399136363648,188.0,
1060,FORAKER 1207 3WH-11,2019-10-01,62.47,1141.1,1,,62.47,23863.849999999984,222971.17,103313.73412727269,127177.58412727281,0.0,18.266367856571154,382.0049623819431,,2035.818538935054,189.0,
1061,FORAKER 1207 3WH-11,2019-10-02,72.86,1134.0,1,,72.86,23936.709999999985,224105.17,103313.73412727269,127250.44412727281,0.0,15.56409552566566,328.5301948943177,,1746.5062328750043,190.0,
1062,FORAKER 1207 3WH-11,2019-10-03,65.23,1117.1,1,,65.23,24001.939999999984,225222.27000000002,103313.73412727269,127315.67412727281,0.0,17.12555572589299,367.9586080024526,,1951.7963226624681,191.0,
1063,FORAKER 1207 3WH-11,2019-10-04,56.22,1211.0,1,,56.22,24058.159999999985,226433.27000000002,103313.73412727269,127371.89412727281,0.0,21.54037709000356,427.92885094272475,,2265.5975476213594,192.0,
1064,FORAKER 1207 3WH-11,2019-10-05,39.55,1083.0,1,,39.55,24097.709999999985,227516.27000000002,103313.73412727269,127411.44412727281,0.0,27.383059418457652,609.297345132743,,3221.528296517644,193.0,
1065,FORAKER 1207 3WH-11,2019-10-06,54.82,559.0,1,,54.82,24152.529999999984,228075.27000000002,103313.73412727269,127466.26412727282,0.0,10.197008391098139,440.578803356439,,2325.1781125004163,194.0,
1066,FORAKER 1207 3WH-11,2019-10-07,66.63,729.0,1,,66.63,24219.159999999985,228804.27000000002,103313.73412727269,127532.89412727283,0.0,10.941017559657812,363.4873180249135,,1914.0461372845991,195.0,
1067,FORAKER 1207 3WH-11,2019-10-08,3.46,1074.4,1,,3.46,24222.619999999984,229878.67,103313.73412727269,127536.35412727283,0.0,310.5202312138729,7000.757225433522,,36860.2179558592,196.0,
1068,FORAKER 1207 3WH-11,2019-10-09,72.86,63.2,1,,72.86,24295.479999999985,229941.87000000002,103313.73412727269,127609.21412727283,0.0,0.8674169640406258,333.4542959099641,,1751.4303338906511,197.0,
1069,FORAKER 1207 3WH-11,2019-10-10,58.29,844.3,1,,58.29,24353.769999999986,230786.17,103313.73412727269,127667.50412727283,0.0,14.484474180820037,417.803568365071,,2190.2128002620148,198.0,
1070,FORAKER 1207 3WH-11,2019-10-11,22.2,1128.8,1,,22.2,24375.969999999987,231914.97,103313.73412727269,127689.70412727282,0.0,50.846846846846844,1098.0166666666662,,5751.7884742014785,199.0,
