,Date,X,GROSS WTR
1,2019-03-24,,S1
2,2019-03-25,,S1
3,2019-03-26,0.0,S1
4,2019-03-27,0.0,S1
5,2019-03-28,0.0,S1
6,2019-03-29,0.0,S1
7,2019-03-30,386.04,S1
8,2019-03-31,572.86,S1
9,2019-04-01,991.42,S1
10,2019-04-02,995.55,S1
11,2019-04-03,803.2,S1
12,2019-04-04,692.15,S1
13,2019-04-05,486.3,S1
14,2019-04-06,420.11,S1
15,2019-04-07,365.44,S1
16,2019-04-08,435.16,S1
17,2019-04-09,266.94,S1
18,2019-04-10,236.09,S1
19,2019-04-11,203.66,S1
20,2019-04-12,191.06,S1
21,2019-04-13,168.13,S1
22,2019-04-14,158.34,S1
23,2019-04-15,148.3,S1
24,2019-04-16,132.41,S1
25,2019-04-17,117.96,S1
26,2019-04-18,124.12,S1
27,2019-04-19,104.28,S1
28,2019-04-20,26.3,S1
29,2019-04-21,0.0,S1
30,2019-04-22,0.0,S1
31,2019-04-23,0.0,S1
32,2019-04-24,0.0,S1
33,2019-04-25,0.0,S1
34,2019-04-26,0.0,S1
35,2019-04-27,0.0,S1
36,2019-04-28,295.26,S1
37,2019-04-29,1334.1,S1
38,2019-04-30,1251.89,S1
39,2019-05-01,736.35,S1
40,2019-05-02,647.94,S1
41,2019-05-03,522.31,S1
42,2019-05-04,466.91,S1
43,2019-05-05,405.47,S1
44,2019-05-06,360.6,S1
45,2019-05-07,319.13,S1
46,2019-05-08,301.59,S1
47,2019-05-09,277.39,S1
48,2019-05-10,261.07,S1
49,2019-05-11,240.86,S1
50,2019-05-12,229.35,S1
51,2019-05-13,213.91,S1
52,2019-05-14,207.84,S1
53,2019-05-15,206.76,S1
54,2019-05-16,196.24,S1
55,2019-05-17,182.38,S1
56,2019-05-18,144.41,S1
57,2019-05-19,170.96,S1
58,2019-05-20,167.95,S1
59,2019-05-21,127.88,S1
60,2019-05-22,143.48,S1
61,2019-05-23,125.09,S1
62,2019-05-24,102.02,S1
63,2019-05-25,124.97,S1
64,2019-05-26,122.19,S1
65,2019-05-27,128.27,S1
66,2019-05-28,128.45,S1
67,2019-05-29,119.02,S1
68,2019-05-30,115.44,S1
69,2019-05-31,109.95,S1
70,2019-06-01,110.8,S1
71,2019-06-02,107.47,S1
72,2019-06-03,102.85,S1
73,2019-06-04,110.38,S1
74,2019-06-05,104.9,S1
75,2019-06-06,105.7,S1
76,2019-06-07,99.25,S1
77,2019-06-08,100.64,S1
78,2019-06-09,81.1,S1
79,2019-06-10,92.35,S1
80,2019-06-11,75.29,S1
81,2019-06-12,94.35,S1
82,2019-06-13,86.74,S1
83,2019-06-14,92.32,S1
84,2019-06-15,82.61,S1
85,2019-06-16,85.51,S1
86,2019-06-17,97.31,S1
87,2019-06-18,81.51,S1
88,2019-06-19,73.93,S1
89,2019-06-20,83.82,S1
90,2019-06-21,78.16,S1
91,2019-06-22,79.31,S1
92,2019-06-23,82.74,S1
93,2019-06-24,75.31,S1
94,2019-06-25,66.84,S1
95,2019-06-26,68.94,S1
96,2019-06-27,61.52,S1
97,2019-06-28,56.34,S1
98,2019-06-29,69.89,S1
99,2019-06-30,55.23,S1
100,2019-07-01,29.86,S1
101,2019-07-02,33.45,S1
102,2019-07-03,48.82,S1
103,2019-07-04,54.64,S1
104,2019-07-05,58.01,S1
105,2019-07-06,25.24,S1
106,2019-07-07,30.0,S1
107,2019-07-08,26.66,S1
108,2019-07-09,37.5,S1
109,2019-07-10,46.77,S1
110,2019-07-11,40.55,S1
111,2019-07-12,43.06,S1
112,2019-07-13,45.44,S1
113,2019-07-14,41.8,S1
114,2019-07-15,36.12,S1
115,2019-07-16,21.32,S1
116,2019-07-17,0.0,S1
117,2019-07-18,68.72,S1
118,2019-07-19,50.66,S1
119,2019-07-20,27.79,S1
120,2019-07-21,27.71,S1
121,2019-07-22,31.04,S1
122,2019-07-23,28.87,S1
123,2019-07-24,6.81,S1
124,2019-07-25,97.1,S1
125,2019-07-26,117.77,S1
126,2019-07-27,100.0,S1
127,2019-07-28,100.0,S1
128,2019-07-29,50.21,S1
129,2019-07-30,43.09,S1
130,2019-07-31,15.58,S1
131,2019-08-01,0.0,S1
132,2019-08-02,0.0,S1
133,2019-08-03,22.02,S1
134,2019-08-04,19.5,S1
135,2019-08-05,19.59,S1
136,2019-08-06,4.36,S1
137,2019-08-07,0.0,S1
138,2019-08-08,43.09,S1
139,2019-08-09,30.88,S1
140,2019-08-10,15.52,S1
141,2019-08-11,8.63,S1
142,2019-08-12,13.77,S1
143,2019-08-13,12.87,S1
144,2019-08-14,8.54,S1
145,2019-08-15,8.14,S1
146,2019-08-16,5.88,S1
147,2019-08-17,39.69,S1
148,2019-08-18,53.09,S1
149,2019-08-19,51.53,S1
150,2019-08-20,48.09,S1
151,2019-08-21,42.0,S1
152,2019-08-22,24.68,S1
153,2019-08-23,54.85,S1
154,2019-08-24,40.93,S1
155,2019-08-25,36.44,S1
156,2019-08-26,25.43,S1
157,2019-08-27,24.24,S1
158,2019-08-28,38.02,S1
159,2019-08-29,35.18,S1
160,2019-08-30,24.23,S1
161,2019-08-31,31.05,S1
162,2019-09-01,27.46,S1
163,2019-09-02,25.28,S1
164,2019-09-03,8.58,S1
165,2019-09-04,37.32,S1
166,2019-09-05,,S1
167,2019-09-06,,S1
168,2019-09-07,,S1
169,2019-09-08,,S1
170,2019-09-09,,S1
171,2019-09-10,,S1
172,2019-09-11,,S1
173,2019-09-12,,S1
174,2019-09-13,,S1
175,2019-09-14,,S1
176,2019-09-15,,S1
177,2019-09-16,,S1
178,2019-09-17,,S1
179,2019-09-18,,S1
180,2019-09-19,,S1
181,2019-09-20,,S1
182,2019-09-21,,S1
183,2019-09-22,,S1
184,2019-09-23,,S1
0,2019-03-23,,FORAKER 1207 2UMH-11
1,2019-03-24,,FORAKER 1207 2UMH-11
2,2019-03-25,,FORAKER 1207 2UMH-11
3,2019-03-26,0.0,FORAKER 1207 2UMH-11
4,2019-03-27,1435.9,FORAKER 1207 2UMH-11
5,2019-03-28,1475.8910000000005,FORAKER 1207 2UMH-11
6,2019-03-29,2018.3960000000002,FORAKER 1207 2UMH-11
7,2019-03-30,1992.542,FORAKER 1207 2UMH-11
8,2019-03-31,2142.0480000000007,FORAKER 1207 2UMH-11
9,2019-04-01,2379.18,FORAKER 1207 2UMH-11
10,2019-04-02,2215.9880000000003,FORAKER 1207 2UMH-11
11,2019-04-03,1909.774,FORAKER 1207 2UMH-11
12,2019-04-04,1991.7239999999997,FORAKER 1207 2UMH-11
13,2019-04-05,1803.5669999999998,FORAKER 1207 2UMH-11
14,2019-04-06,1900.0,FORAKER 1207 2UMH-11
15,2019-04-07,1927.900491993759,FORAKER 1207 2UMH-11
16,2019-04-08,1765.7959832323836,FORAKER 1207 2UMH-11
17,2019-04-09,1629.8932163147479,FORAKER 1207 2UMH-11
18,2019-04-10,1514.2421519108027,FORAKER 1207 2UMH-11
19,2019-04-11,1414.5769824470503,FORAKER 1207 2UMH-11
20,2019-04-12,1327.7578385736258,FORAKER 1207 2UMH-11
21,2019-04-13,1251.4211743400126,FORAKER 1207 2UMH-11
22,2019-04-14,1183.7530546635435,FORAKER 1207 2UMH-11
23,2019-04-15,1123.337664306604,FORAKER 1207 2UMH-11
24,2019-04-16,1069.0534076202084,FORAKER 1207 2UMH-11
25,2019-04-17,1019.97,FORAKER 1207 2UMH-11
26,2019-04-18,950.3,FORAKER 1207 2UMH-11
27,2019-04-19,899.11,FORAKER 1207 2UMH-11
28,2019-04-20,846.71,FORAKER 1207 2UMH-11
29,2019-04-21,780.01,FORAKER 1207 2UMH-11
30,2019-04-22,715.58,FORAKER 1207 2UMH-11
31,2019-04-23,674.72,FORAKER 1207 2UMH-11
32,2019-04-24,764.26,FORAKER 1207 2UMH-11
33,2019-04-25,715.64,FORAKER 1207 2UMH-11
34,2019-04-26,624.68,FORAKER 1207 2UMH-11
