Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Break Pres,9480.00,7320.00,6020.00,6030.00,6030.00,7070.00,6670.00,6950.00,8170.00,7090.00,6940.00,7310.00,6640.00,6995.00,6800.00,6840.00,6680.00,6600.00,6390.00,6440.00,6680.00,6420.00,8910.00,6730.00,6640.00,6950.00,7090.00,6950.00,6610.00,7790.00,8540.00,7660.00,7030.00,6910.00,7100.00,7050.00,6750.00,6760.00,6820.00,8730.00,8390.00,7040.00,7460.00,8720.00,6830.00,6800.00,8220.00,8780.00,6710.00,7910.00,7590.00,7450.00,7950.00
Start Time,0.30,0.90,0.29,0.63,0.03,0.44,0.78,0.11,0.47,0.78,0.36,0.64,0.94,0.26,0.54,0.87,0.25,0.53,0.89,0.17,0.44,0.78,0.21,0.47,0.85,0.19,0.98,0.26,0.53,0.80,0.07,0.40,0.71,0.00,0.24,0.64,0.89,0.15,0.46,0.71,0.98,0.30,0.65,0.98,0.27,0.54,0.80,0.05,0.29,0.61,0.86,0.43,0.67
End Time,0.62,0.03,0.42,0.84,0.17,0.57,0.92,0.27,0.62,0.21,0.50,0.77,0.07,0.39,0.68,0.09,0.38,0.67,0.01,0.30,0.56,0.95,0.34,0.67,0.06,0.40,0.11,0.38,0.65,0.93,0.22,0.54,0.85,0.13,0.43,0.76,0.01,0.27,0.08,0.83,0.10,0.50,0.84,0.10,0.40,0.66,0.92,0.17,0.43,0.73,0.99,0.54,0.78
Pump Time,0.32,0.13,0.13,0.20,0.14,0.13,0.14,0.16,0.15,0.43,0.13,0.13,0.13,0.13,0.14,0.22,0.13,0.14,0.12,0.13,0.12,0.17,0.13,0.19,0.21,0.21,0.13,0.12,0.12,0.12,0.16,0.14,0.13,0.12,0.19,0.12,0.12,0.12,0.63,0.12,0.12,0.20,0.20,0.12,0.12,0.12,0.12,0.12,0.14,0.12,0.13,0.12,0.12
Ave Rate,66.50,68.90,69.10,70.20,63.30,66.00,63.20,68.90,69.20,70.00,69.40,69.50,69.50,69.50,69.50,69.40,66.50,68.30,70.40,70.40,70.20,69.60,69.70,49.30,70.10,54.60,67.80,70.20,70.40,70.80,70.50,69.20,66.30,69.20,69.70,70.30,70.60,70.30,69.50,70.70,70.50,69.50,70.40,70.80,70.00,70.50,71.20,71.00,70.50,70.00,64.00,70.40,67.40
Ave Pres,11260.00,10465.00,10707.00,10415.00,10010.00,11146.00,10846.00,11545.00,11631.00,11500.00,11596.00,11357.00,11195.00,11272.00,11366.00,11625.00,11186.00,10844.00,11020.00,11149.00,10983.00,10902.00,11091.00,9045.00,11126.00,10021.00,11390.00,10707.00,10632.00,10613.00,10502.00,11137.00,10085.00,10334.00,10343.00,10163.00,10134.00,9856.00,9928.00,9675.00,9653.00,9648.00,9660.00,9690.00,9631.00,9676.00,9605.00,8794.00,9259.00,9317.00,8760.00,9630.00,10014.00
Max Rate,71.20,70.50,70.40,70.80,70.80,70.90,70.30,71.00,70.20,66.00,70.00,69.80,71.10,71.00,70.00,71.10,70.50,69.70,70.80,71.00,71.10,70.20,71.00,70.20,70.60,70.40,69.80,71.10,71.00,71.20,71.00,70.40,70.50,71.30,70.70,71.10,72.00,70.30,70.40,71.10,71.40,70.80,70.90,71.20,72.10,71.10,71.50,71.40,70.70,70.40,71.20,70.80,71.00
Max Pres,11740.00,10910.00,11100.00,11070.00,11230.00,11650.00,11960.00,11720.00,12480.00,12000.00,11870.00,12000.00,12170.00,11850.00,12380.00,12030.00,12090.00,11360.00,11630.00,11390.00,11290.00,11270.00,11620.00,12485.00,12050.00,11270.00,11700.00,11120.00,11400.00,11610.00,10970.00,11870.00,11690.00,11890.00,10970.00,11240.00,11120.00,10330.00,10125.00,11220.00,11490.00,11100.00,11060.00,11740.00,10480.00,10500.00,11560.00,10820.00,10040.00,10940.00,11230.00,11010.00,11220.00
ISIP,5080.00,5140.00,5223.00,5275.00,5030.00,5220.00,5170.00,5220.00,4880.00,5310.00,5280.00,5210.00,5240.00,5300.00,5345.00,5410.00,5251.00,3950.00,5220.00,5240.00,5190.00,5210.00,5424.00,5280.00,5200.00,5320.00,5220.00,5330.00,5190.00,5290.00,5260.00,5290.00,5385.00,5070.00,5210.00,5250.00,5280.00,5190.00,5010.00,5350.00,5346.00,5340.00,5360.00,5415.00,5470.00,5380.00,5440.00,5531.00,5340.00,5365.00,5357.00,5390.00,5350.00
FG,0.85,0.85,0.86,0.86,0.84,0.86,0.86,0.86,0.83,0.87,0.86,0.86,0.86,0.87,0.87,0.88,0.86,0.76,0.86,0.86,0.86,0.86,0.88,0.87,0.86,0.87,0.86,0.87,0.86,0.87,0.86,0.87,0.88,0.85,0.86,0.86,0.87,0.86,0.84,0.87,0.87,0.87,0.87,0.88,0.88,0.88,0.88,0.89,0.87,0.88,0.87,0.88,0.87
Design,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00
Avg HHP,18353.00,17673.00,18134.00,17920.00,15530.00,18030.00,16801.00,19496.00,19727.00,19730.00,19725.00,19346.00,19070.00,19201.00,19361.00,19774.00,18243.00,18142.00,19015.00,19240.00,18885.00,18598.00,18942.00,10938.00,19116.00,13420.00,18928.00,18425.00,18353.00,18417.00,18144.00,18876.00,16388.00,17527.00,17667.00,17511.00,17536.00,16982.00,16921.00,16765.00,16680.00,16437.00,16668.00,16815.00,16531.00,16729.00,16762.00,15303.00,15999.00,15985.00,13741.00,16616.00,16543.00
15 minute SIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5385.00,,,,,,,,,,,,,,,,,,,,
15% HCl Acid,30.00,30.00,29.00,27.00,28.00,28.00,28.00,29.00,30.00,30.00,30.00,29.00,30.00,29.00,30.00,30.00,30.00,30.00,29.00,30.00,29.00,28.00,29.00,30.00,30.00,30.00,29.00,31.00,29.00,28.00,29.00,30.00,30.00,30.00,29.00,30.00,27.00,29.00,30.00,30.00,29.00,29.00,30.00,29.00,28.00,30.00,30.00,30.00,30.00,28.00,29.00,29.00,28.00
Slickwater,14030.00,10890.00,10942.00,11328.00,10857.00,10935.00,10763.00,11859.00,10635.00,11846.00,11219.00,10919.00,10956.00,10766.00,11365.00,12134.00,11014.00,10802.00,10753.00,10856.00,10749.00,10760.00,10835.00,12030.00,11246.00,12385.00,10686.00,10837.00,10732.00,10742.00,10791.00,10739.00,10929.00,10672.00,10725.00,10667.00,10698.00,10743.00,10663.00,10758.00,10796.00,10837.00,11838.00,10717.00,10676.00,10678.00,10763.00,10944.00,10624.00,10606.00,10666.00,10610.00,10302.00
Pump Down,300.00,316.00,289.00,310.00,307.00,235.00,224.00,209.00,242.00,230.00,188.00,198.00,196.00,191.00,197.00,188.00,179.00,170.00,175.00,157.00,163.00,155.00,151.00,146.00,146.00,131.00,122.00,127.00,131.00,107.00,108.00,100.00,93.00,88.00,96.00,83.00,76.00,69.00,67.00,64.00,61.00,63.00,48.00,43.00,41.00,37.00,44.00,26.00,21.00,21.00,140.00,14.00,0.00
Total Fluid,14360.00,11236.00,11260.00,11665.00,11192.00,11198.00,11015.00,12097.00,10907.00,12106.00,11437.00,11145.00,11182.00,10986.00,11592.00,12352.00,11223.00,11002.00,10957.00,11043.00,10940.00,10943.00,11016.00,12206.00,11422.00,12546.00,10837.00,10994.00,10892.00,10876.00,10928.00,10869.00,11053.00,10790.00,10849.00,10780.00,10802.00,10840.00,10760.00,10852.00,10886.00,10929.00,11916.00,10790.00,10745.00,10744.00,10837.00,11001.00,10675.00,10656.00,10836.00,10653.00,10330.00
100 Mesh,505240.00,506200.00,503640.00,502240.00,495460.00,505460.00,496260.00,500200.00,462480.00,501020.00,492480.00,498280.00,503500.00,500060.00,503040.00,503980.00,506400.00,503640.00,506040.00,504320.00,500420.00,503180.00,502140.00,500840.00,497040.00,506860.00,497820.00,507120.00,499140.00,503960.00,503340.00,497620.00,494460.00,499680.00,498400.00,502720.00,504400.00,500800.00,500880.00,506400.00,505660.00,500720.00,519100.00,506820.00,502080.00,497140.00,507200.00,507020.00,501380.00,496480.00,498140.00,501380.00,498640.00
Total Proppant,505240.00,506200.00,503640.00,502240.00,495460.00,505460.00,496260.00,500200.00,462480.00,501020.00,492480.00,498280.00,503500.00,500060.00,503040.00,503980.00,506400.00,503640.00,506040.00,504320.00,500420.00,503180.00,502140.00,500840.00,497040.00,506860.00,497820.00,507120.00,499140.00,503960.00,503340.00,497620.00,494460.00,499680.00,498400.00,502720.00,504400.00,500800.00,500880.00,506400.00,505660.00,500720.00,519100.00,506820.00,502080.00,497140.00,507200.00,507020.00,501380.00,496480.00,498140.00,501380.00,498640.00
100 Mesh,505240.00,506200.00,503640.00,502240.00,495460.00,505460.00,496260.00,500200.00,462480.00,501020.00,492480.00,498280.00,503500.00,500060.00,503040.00,503980.00,506400.00,503640.00,506040.00,504320.00,500420.00,503180.00,502140.00,500840.00,497040.00,506860.00,497820.00,507120.00,499140.00,503960.00,503340.00,497620.00,494460.00,499680.00,498400.00,502720.00,504400.00,500800.00,500880.00,506400.00,505660.00,500720.00,519100.00,506820.00,502080.00,497140.00,507200.00,507020.00,501380.00,496480.00,498140.00,501380.00,498640.00
Delivered Total Prop,505240.00,506200.00,503640.00,502240.00,495460.00,505460.00,496260.00,500200.00,462480.00,501020.00,492480.00,498280.00,503500.00,500060.00,503040.00,503980.00,506400.00,503640.00,506040.00,504320.00,500420.00,503180.00,502140.00,500840.00,497040.00,506860.00,497820.00,507120.00,499140.00,503960.00,503340.00,497620.00,494460.00,499680.00,498400.00,502720.00,504400.00,500800.00,500880.00,506400.00,505660.00,500720.00,519100.00,506820.00,502080.00,497140.00,507200.00,507020.00,501380.00,496480.00,498140.00,501380.00,498640.00
"Plexslick 957, gal",585.00,450.00,400.00,429.00,319.00,345.00,446.00,495.00,441.00,492.00,465.00,453.00,454.00,414.00,424.00,483.00,457.00,448.00,446.00,450.00,446.00,446.00,449.00,500.00,467.00,498.00,443.00,449.00,445.00,446.00,443.00,442.00,453.00,443.00,444.00,444.00,444.00,445.00,443.00,447.00,448.00,449.00,492.00,444.00,442.00,443.00,448.00,454.00,441.00,441.00,443.00,313.00,291.00
"Chemplex 4-N-1, gal",7.00,8.00,7.00,7.00,7.00,7.00,7.00,7.00,8.00,8.00,8.00,7.00,8.00,7.00,8.00,7.00,8.00,8.00,7.00,8.00,7.00,7.00,7.00,8.00,8.00,8.00,7.00,8.00,7.00,7.00,7.00,8.00,8.00,8.00,7.00,8.00,7.00,8.00,8.00,8.00,7.00,7.00,7.00,7.00,7.00,7.00,8.00,8.00,7.00,7.00,7.00,7.00,7.00
"Payzone 845, gal",117.00,92.00,92.00,94.00,92.00,92.00,92.00,99.00,89.00,99.00,94.00,92.00,92.00,91.00,95.00,100.00,92.00,91.00,90.00,91.00,90.00,90.00,91.00,101.00,95.00,104.00,90.00,91.00,90.00,90.00,91.00,90.00,91.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,91.00,92.00,99.00,90.00,90.00,90.00,90.00,92.00,90.00,89.00,90.00,89.00,86.00
"Payzone 850, gal",45.00,34.00,34.00,35.00,34.00,34.00,34.00,37.00,34.00,37.00,36.00,34.00,34.00,34.00,36.00,37.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,38.00,35.00,39.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,37.00,34.00,34.00,34.00,34.00,35.00,34.00,34.00,34.00,34.00,32.00
"Payzone 217, gal",117.00,92.00,92.00,94.00,92.00,92.00,92.00,99.00,89.00,99.00,94.00,92.00,92.00,91.00,95.00,100.00,92.00,91.00,90.00,91.00,90.00,90.00,91.00,101.00,95.00,104.00,90.00,91.00,90.00,90.00,91.00,90.00,91.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,91.00,92.00,99.00,90.00,90.00,90.00,90.00,92.00,90.00,89.00,90.00,89.00,86.00
"Stim741 Gel, gal",20.00,10.00,20.00,10.00,20.00,10.00,10.00,10.00,20.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,20.00,10.00,20.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
"15% HCl Acid, gal",1269.00,1251.00,1206.00,1129.00,1195.00,1190.00,1161.00,1224.00,1261.00,1269.00,1256.00,1211.00,1277.00,1206.00,1251.00,1264.00,1269.00,1245.00,1224.00,1275.00,1206.00,1160.00,1223.00,1260.00,1268.00,1260.00,1210.00,1285.00,1206.00,1161.00,1224.00,1261.00,1269.00,1256.00,1211.00,1272.00,1140.00,1211.00,1259.00,1269.00,1227.00,1222.00,1275.00,1235.00,1190.00,1240.00,1266.00,1269.00,1240.00,1190.00,1235.00,1222.00,1179.00
Well Name,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H,Silvertip A 3H
