Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Total Fluid,11163.00,12162.00,11311.00,12364.00,12314.00,11173.00,11255.00,11234.00,11168.00,11100.00,11182.00,11137.00,11026.00,11059.00,11145.00,11016.00,10914.00,10963.00,10869.00,11053.00,10848.00,10933.00,11118.00,11005.00,11491.00,10976.00,11444.00,10846.00,10871.00,10946.00,10833.00,10733.00,11491.00,10795.00,10868.00,10885.00,10843.00,10859.00,11069.00,10824.00,10837.00,10704.00,11088.00,11027.00,11243.00,10794.00,11020.00,10697.00,10728.00,10651.00,10700.00,10621.00,10398.00
100 Mesh,503020.00,499320.00,501700.00,502280.00,501400.00,499620.00,499540.00,507620.00,502280.00,496540.00,501940.00,500660.00,500960.00,499480.00,500140.00,496800.00,496140.00,499740.00,493180.00,502220.00,498800.00,502980.00,504400.00,498600.00,500460.00,507360.00,507840.00,496360.00,502920.00,504400.00,498900.00,492780.00,497680.00,499180.00,501600.00,504520.00,504660.00,499620.00,503300.00,505500.00,507380.00,497400.00,503060.00,512120.00,506960.00,500360.00,504800.00,496000.00,499720.00,494480.00,505080.00,495080.00,497080.00
Total Proppant,503020.00,499320.00,501700.00,502280.00,501400.00,499620.00,499540.00,507620.00,502280.00,496540.00,501940.00,500660.00,500960.00,499480.00,500140.00,496800.00,496140.00,499740.00,493180.00,502220.00,498800.00,502980.00,504400.00,498600.00,500460.00,507360.00,507840.00,496360.00,502920.00,504400.00,498900.00,492780.00,497680.00,499180.00,501600.00,504520.00,504660.00,499620.00,503300.00,505500.00,507380.00,497400.00,503060.00,512120.00,506960.00,500360.00,504800.00,496000.00,499720.00,494480.00,505080.00,495080.00,497080.00
100 Mesh,503020.00,499320.00,501700.00,502280.00,501400.00,499620.00,499540.00,507620.00,502280.00,496540.00,501940.00,500660.00,500960.00,499480.00,500140.00,496800.00,496140.00,499740.00,493180.00,502220.00,498800.00,502980.00,504400.00,498600.00,500460.00,507360.00,507840.00,496360.00,502920.00,504400.00,498900.00,492780.00,497680.00,499180.00,501600.00,504520.00,504660.00,499620.00,503300.00,505500.00,507380.00,497400.00,503060.00,512120.00,506960.00,500360.00,504800.00,496000.00,499720.00,494480.00,505080.00,495080.00,497080.00
Delivered Total Prop,503020.00,499320.00,501700.00,502280.00,501400.00,499620.00,499540.00,507620.00,502280.00,496540.00,501940.00,500660.00,500960.00,499480.00,500140.00,496800.00,496140.00,499740.00,493180.00,502220.00,498800.00,502980.00,504400.00,498600.00,500460.00,507360.00,507840.00,496360.00,502920.00,504400.00,498900.00,492780.00,497680.00,499180.00,501600.00,504520.00,504660.00,499620.00,503300.00,505500.00,507380.00,497400.00,503060.00,512120.00,506960.00,500360.00,504800.00,496000.00,499720.00,494480.00,505080.00,495080.00,497080.00
"Plexslick 957, gal",455.00,493.00,396.00,501.00,495.00,453.00,458.00,457.00,455.00,453.00,457.00,454.00,450.00,450.00,412.00,407.00,446.00,449.00,434.00,453.00,373.00,387.00,315.00,367.00,355.00,330.00,348.00,330.00,340.00,297.00,329.00,397.00,346.00,329.00,330.00,294.00,282.00,321.00,385.00,288.00,287.00,287.00,336.00,268.00,266.00,261.00,299.00,237.00,243.00,242.00,223.00,247.00,257.00
"Chemplex 4-N-1, gal",8.00,7.00,8.00,7.00,8.00,7.00,7.00,7.00,8.00,7.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
"Payzone 845, gal",91.00,99.00,92.00,99.00,101.00,91.00,92.00,94.00,92.00,92.00,93.00,91.00,90.00,90.00,92.00,91.00,90.00,90.00,90.00,91.00,91.00,90.00,92.00,92.00,95.00,91.00,95.00,90.00,90.00,90.00,90.00,89.00,92.00,90.00,90.00,90.00,90.00,90.00,92.00,90.00,90.00,89.00,92.00,92.00,94.00,89.00,92.00,90.00,90.00,89.00,90.00,89.00,87.00
"Payzone 850, gal",34.00,37.00,35.00,37.00,38.00,34.00,35.00,35.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,35.00,34.00,35.00,34.00,35.00,34.00,34.00,34.00,34.00,34.00,35.00,34.00,34.00,34.00,34.00,34.00,35.00,34.00,34.00,34.00,35.00,35.00,35.00,34.00,35.00,34.00,34.00,33.00,34.00,33.00,33.00
"Payzone 217, gal",91.00,99.00,92.00,99.00,101.00,91.00,92.00,94.00,92.00,92.00,93.00,91.00,90.00,90.00,92.00,91.00,90.00,90.00,90.00,91.00,91.00,90.00,92.00,92.00,95.00,91.00,95.00,90.00,90.00,90.00,90.00,89.00,92.00,90.00,90.00,90.00,90.00,90.00,92.00,90.00,90.00,89.00,92.00,92.00,94.00,89.00,92.00,90.00,90.00,89.00,90.00,89.00,87.00
"Stim741 Gel, gal",20.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
"15% HCl Acid, gal",1301.00,1224.00,1261.00,1111.00,1259.00,1219.00,1150.00,1172.00,1248.00,1190.00,715.00,596.00,615.00,631.00,633.00,636.00,633.00,631.00,620.00,609.00,596.00,575.00,554.00,525.00,609.00,586.00,641.00,689.00,575.00,596.00,609.00,620.00,631.00,633.00,636.00,633.00,631.00,620.00,609.00,596.00,575.00,554.00,652.00,609.00,596.00,609.00,620.00,631.00,633.00,636.00,633.00,631.00,620.00
Well Name,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H,Silvertip A 4H
