Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Break Pres,8710.00,7570.00,8800.00,6910.00,6420.00,6940.00,7630.00,7220.00,8090.00,9120.00,8380.00,7280.00,6800.00,7180.00,8250.00,6160.00,5920.00,5930.00,5860.00,6110.00,6000.00,5900.00,5840.00,5770.00,5840.00,6530.00,6010.00,6430.00,5790.00,5730.00,6090.00,6060.00,5660.00,5650.00,5690.00,5820.00,5860.00,5760.00,5560.00,5880.00,6060.00,6760.00,6090.00,6070.00,6110.00,6210.00,5900.00,5690.00,6920.00,5690.00,5960.00,5630.00,5660.00
Start Time,0.34,0.26,0.03,0.40,0.72,0.03,0.42,0.73,0.06,0.44,0.87,0.19,0.52,0.89,0.20,0.52,0.80,0.10,0.40,0.68,0.98,0.29,0.55,0.85,0.13,0.40,0.68,0.98,0.28,0.54,0.81,0.13,0.40,0.77,0.02,0.28,0.55,0.83,0.08,0.34,0.66,0.91,0.17,0.41,0.64,0.99,0.23,0.49,0.74,0.97,0.20,0.43,0.65
End Time,0.77,0.44,0.21,0.55,0.85,0.21,0.58,0.88,0.22,0.60,0.03,0.36,0.68,0.04,0.36,0.68,0.95,0.24,0.54,0.83,0.13,0.43,0.72,0.98,0.26,0.54,0.82,0.12,0.41,0.67,0.94,0.26,0.53,0.90,0.16,0.41,0.68,0.96,0.21,0.47,0.79,0.04,0.30,0.54,0.87,0.12,0.36,0.62,0.95,0.09,0.33,0.56,0.78
Pump Time,0.43,0.18,0.18,0.14,0.14,0.18,0.15,0.15,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.15,0.14,0.14,0.14,0.15,0.15,0.14,0.17,0.13,0.13,0.14,0.15,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.23,0.13,0.13,0.13,0.21,0.13,0.13,0.13,0.12
Ave Rate,52.00,58.70,52.90,69.80,69.40,69.10,59.20,59.20,55.90,58.00,60.10,54.60,59.60,61.60,59.50,59.80,64.80,64.10,63.00,63.20,65.20,65.90,58.20,68.30,67.90,65.60,65.00,69.70,68.90,69.40,66.30,67.70,70.10,70.30,69.70,69.80,69.60,68.70,69.70,70.10,69.80,69.30,70.00,69.90,69.90,69.90,70.30,68.70,70.40,70.40,70.00,71.80,71.90
Ave Pres,8015.00,8084.00,8358.00,8580.00,8516.00,8555.00,8479.00,8549.00,8570.00,8569.00,8563.00,8250.00,8526.00,8562.00,8497.00,8530.00,8574.00,8553.00,8563.00,8572.00,8527.00,8525.00,8502.00,8508.00,8568.00,8572.00,8466.00,8548.00,8512.00,8492.00,8506.00,8395.00,8221.00,8380.00,8301.00,8206.00,8418.00,8401.00,8404.00,8327.00,8384.00,8315.00,8358.00,8331.00,8126.00,8387.00,8161.00,8196.00,8175.00,8126.00,8081.00,8170.00,7947.00
Max Rate,62.30,63.50,65.40,71.00,71.00,71.10,70.40,63.20,59.80,61.80,63.60,58.40,61.20,64.00,62.80,63.70,67.80,66.30,64.40,66.30,68.30,70.60,63.10,71.90,70.30,70.10,68.40,71.10,70.70,70.60,70.40,70.80,71.30,71.20,70.50,71.40,71.00,71.40,70.50,71.30,70.90,71.00,71.30,70.50,70.70,71.30,71.00,70.60,71.40,71.20,71.10,75.50,73.40
Max Pres,8950.00,8750.00,8800.00,8770.00,8700.00,8850.00,8740.00,8700.00,8720.00,9120.00,8880.00,8790.00,8700.00,8745.00,8750.00,8700.00,8750.00,8770.00,8780.00,8770.00,8710.00,8680.00,8680.00,8780.00,8710.00,8730.00,8980.00,8670.00,8650.00,8760.00,8720.00,8760.00,8720.00,8530.00,8610.00,8670.00,8700.00,8740.00,8720.00,8550.00,8750.00,8620.00,8610.00,8590.00,8590.00,8770.00,8660.00,8680.00,8670.00,8700.00,8640.00,8510.00,8540.00
ISIP,5200.00,5074.00,5100.00,5199.00,5170.00,5172.00,5220.00,5300.00,5140.00,5280.00,5310.00,5210.00,5290.00,5270.00,5302.00,5320.00,5370.00,5318.00,5332.00,5280.00,5180.00,5224.00,5120.00,5180.00,5235.00,5346.00,5180.00,5140.00,5175.00,5262.00,5180.00,5229.00,5163.00,5130.00,5110.00,5222.00,5347.00,5260.00,5290.00,5217.00,5280.00,5220.00,5319.00,5231.00,5260.00,5160.00,5259.00,5278.00,5220.00,5270.00,5337.00,5350.00,5394.00
FG,0.87,0.86,0.86,0.87,0.87,0.87,0.87,0.88,0.86,0.88,0.88,0.87,0.88,0.87,0.88,0.88,0.88,0.88,0.88,0.87,0.87,0.87,0.86,0.87,0.87,0.88,0.87,0.86,0.87,0.87,0.87,0.87,0.86,0.86,0.86,0.87,0.88,0.87,0.88,0.87,0.87,0.87,0.88,0.87,0.87,0.86,0.87,0.87,0.87,0.87,0.88,0.88,0.88
Design,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00
Avg HHP,10215.00,11631.00,10837.00,14679.00,14486.00,14489.00,12303.00,12404.00,11742.00,12181.00,12614.00,11040.00,12455.00,12927.00,12391.00,12502.00,13618.00,13437.00,13222.00,13276.00,13626.00,13770.00,12128.00,14232.00,14259.00,13782.00,13492.00,14599.00,14374.00,14445.00,13826.00,13930.00,14125.00,14437.00,14181.00,14039.00,14360.00,14146.00,14357.00,14307.00,14343.00,14115.00,14340.00,14273.00,13922.00,14367.00,14062.00,13801.00,14112.00,14027.00,13864.00,14378.00,14005.00
15 minute SIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15% HCl Acid,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00
Slickwater,11735.00,11149.00,11101.00,11106.00,11007.00,10881.00,10942.00,10989.00,11089.00,10858.00,10978.00,11133.00,11079.00,10987.00,11067.00,11153.00,10991.00,11010.00,11020.00,10929.00,10924.00,10952.00,11013.00,10970.00,10535.00,11099.00,11108.00,10968.00,11033.00,10979.00,10949.00,10927.00,11001.00,11599.00,10999.00,11039.00,10966.00,10898.00,11041.00,10975.00,10978.00,11012.00,10975.00,10917.00,11656.00,10988.00,10945.00,10941.00,10997.00,10988.00,10992.00,10919.00,10641.00
Pump Down,384.00,405.00,331.00,319.00,323.00,406.00,387.00,373.00,380.00,672.00,238.00,228.00,241.00,213.00,217.00,206.00,200.00,140.00,128.00,176.00,186.00,172.00,132.00,114.00,97.00,91.00,131.00,116.00,123.00,121.00,107.00,103.00,98.00,92.00,91.00,85.00,78.00,74.00,71.00,80.00,60.00,58.00,55.00,50.00,45.00,41.00,39.00,34.00,28.00,23.00,21.00,18.00,0.00
Total Fluid,12148.00,11583.00,11461.00,11454.00,11358.00,11315.00,11357.00,11390.00,11498.00,11559.00,11244.00,11389.00,11348.00,11229.00,11313.00,11388.00,11219.00,11178.00,11177.00,11134.00,11139.00,11152.00,11174.00,11112.00,10661.00,11218.00,11267.00,11112.00,11184.00,11128.00,11085.00,11058.00,11127.00,11719.00,11119.00,11153.00,11073.00,11000.00,11141.00,11084.00,11067.00,11099.00,11059.00,10995.00,11729.00,11057.00,11013.00,11003.00,11053.00,11040.00,11041.00,10965.00,10669.00
100 Mesh,496020.00,502480.00,496460.00,504360.00,507360.00,496880.00,503240.00,498260.00,506200.00,496400.00,501100.00,495960.00,512260.00,501580.00,501620.00,506300.00,504100.00,499260.00,501320.00,499940.00,495800.00,492180.00,492960.00,497800.00,500080.00,505100.00,503400.00,497880.00,496940.00,497160.00,497240.00,497920.00,501000.00,500500.00,496260.00,507340.00,503360.00,493540.00,496740.00,503260.00,496260.00,503520.00,499720.00,496000.00,495940.00,503160.00,507560.00,500780.00,506340.00,504080.00,502400.00,495440.00,497860.00
Total Proppant,496020.00,502480.00,496460.00,504360.00,507360.00,496880.00,503240.00,498260.00,506200.00,496400.00,501100.00,495960.00,512260.00,501580.00,501620.00,506300.00,504100.00,499260.00,501320.00,499940.00,495800.00,492180.00,492960.00,497800.00,500080.00,505100.00,503400.00,497880.00,496940.00,497160.00,497240.00,497920.00,501000.00,500500.00,496260.00,507340.00,503360.00,493540.00,496740.00,503260.00,496260.00,503520.00,499720.00,496000.00,495940.00,503160.00,507560.00,500780.00,506340.00,504080.00,502400.00,495440.00,497860.00
100 Mesh,496020.00,502480.00,496460.00,504360.00,507360.00,496880.00,503240.00,498260.00,506200.00,496400.00,501100.00,495960.00,512260.00,501580.00,501620.00,506300.00,504100.00,499260.00,501320.00,499940.00,495800.00,492180.00,492960.00,497800.00,500080.00,505100.00,503400.00,497880.00,496940.00,497160.00,497240.00,497920.00,501000.00,500500.00,496260.00,507340.00,503360.00,493540.00,496740.00,503260.00,496260.00,503520.00,499720.00,496000.00,495940.00,503160.00,507560.00,500780.00,506340.00,504080.00,502400.00,495440.00,497860.00
Delivered Total Prop,496020.00,502480.00,496460.00,504360.00,507360.00,496880.00,503240.00,498260.00,506200.00,496400.00,501100.00,495960.00,512260.00,501580.00,501620.00,506300.00,504100.00,499260.00,501320.00,499940.00,495800.00,492180.00,492960.00,497800.00,500080.00,505100.00,503400.00,497880.00,496940.00,497160.00,497240.00,497920.00,501000.00,500500.00,496260.00,507340.00,503360.00,493540.00,496740.00,503260.00,496260.00,503520.00,499720.00,496000.00,495940.00,503160.00,507560.00,500780.00,506340.00,504080.00,502400.00,495440.00,497860.00
"Plexslick 957, gal",491.00,453.00,465.00,481.00,461.00,455.00,480.00,460.00,480.00,455.00,473.00,485.00,465.00,460.00,485.00,477.00,475.00,462.00,462.00,466.00,459.00,475.00,476.00,464.00,455.00,468.00,470.00,460.00,480.00,470.00,460.00,475.00,475.00,493.00,475.00,440.00,441.00,282.00,276.00,223.00,290.00,285.00,238.00,270.00,328.00,230.00,228.00,211.00,244.00,217.00,214.00,222.00,222.00
"Chemplex 4-N-1, gal",7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00
"Payzone 845, gal",103.00,93.00,94.00,94.00,91.00,91.00,93.00,91.00,91.00,92.00,91.00,93.00,94.00,92.00,94.00,95.00,92.00,93.00,92.00,91.00,92.00,92.00,94.00,92.00,85.00,92.00,93.00,92.00,93.00,93.00,93.00,92.00,93.00,97.00,92.00,93.00,92.00,93.00,94.00,92.00,93.00,93.00,92.00,92.00,96.00,94.00,92.00,91.00,91.00,92.00,92.00,91.00,92.00
"Payzone 850, gal",38.00,35.00,35.00,35.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,36.00,36.00,35.00,35.00,34.00,34.00,34.00,34.00,35.00,34.00,32.00,34.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,36.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,34.00,36.00,35.00,35.00,34.00,34.00,35.00,35.00,35.00,34.00
"Payzone 217, gal",103.00,93.00,94.00,94.00,91.00,91.00,93.00,91.00,91.00,92.00,91.00,93.00,94.00,92.00,94.00,95.00,92.00,93.00,92.00,91.00,92.00,92.00,94.00,92.00,85.00,92.00,93.00,92.00,93.00,93.00,93.00,92.00,93.00,97.00,92.00,93.00,92.00,93.00,94.00,92.00,93.00,93.00,92.00,92.00,96.00,94.00,92.00,91.00,91.00,92.00,92.00,91.00,92.00
"Stim741 Gel, gal",20.00,20.00,20.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
"15% HCl Acid, gal",1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00
Well Name,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H,Silvertip A 7H
