Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Break Pres,6430.00,6490.00,8510.00,7060.00,7500.00,7710.00,7370.00,7660.00,N/A,7920.00,N/A,N/A,8080.00,8140.00,8120.00,7970.00,7940.00,7580.00,7890.00,NA,8220.00,8470.00,8070.00,7810.00,8460.00,8350.00,8220.00,8080.00,8000.00,8010.00,8310.00,8110.00,N/A,8220.00,8070.00,7980.00,8170.00,8020.00,7810.00,7980.00,7760.00,8270.00,8200.00,8190.00,8460.00,7540.00,7600.00,7420.00,7790.00,7540.00,7780.00,7330.00,8220.00
Start Time,0.65,0.14,0.47,0.82,0.12,0.43,0.78,0.11,0.39,0.72,0.17,0.45,0.76,0.11,0.40,0.75,0.04,0.34,0.66,0.96,0.28,0.78,0.07,0.37,0.68,0.97,0.28,0.60,0.93,0.33,0.59,0.88,0.42,0.73,0.99,0.26,0.60,0.13,0.37,0.64,0.98,0.22,0.59,0.86,0.12,0.38,0.64,0.87,0.11,0.42,0.67,0.88,0.11
End Time,0.82,0.28,0.63,0.95,0.25,0.55,0.91,0.24,0.52,0.94,0.31,0.59,0.89,0.24,0.54,0.88,0.17,0.47,0.79,0.10,0.56,0.91,0.20,0.49,0.81,0.09,0.40,0.73,0.16,0.45,0.72,0.26,0.55,0.86,0.12,0.38,0.81,0.26,0.50,0.76,0.11,0.35,0.72,0.99,0.25,0.50,0.76,0.99,0.23,0.53,0.79,0.00,0.23
Pump Time,0.17,0.14,0.17,0.13,0.13,0.13,0.13,0.12,0.13,0.23,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.28,0.12,0.13,0.12,0.12,0.13,0.12,0.13,0.23,0.12,0.14,0.37,0.12,0.13,0.13,0.12,0.21,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Ave Rate,62.30,62.90,63.90,68.00,67.50,66.70,70.00,70.40,69.00,70.50,67.30,67.00,65.50,68.30,69.50,68.70,69.70,68.10,69.40,68.00,66.10,70.30,69.40,70.40,70.00,69.80,70.00,69.50,62.50,70.30,63.90,69.40,70.00,66.00,68.00,70.20,68.00,66.30,70.00,70.40,70.20,69.20,67.40,69.40,68.00,70.10,70.30,69.80,69.30,70.00,70.40,70.00,70.00
Ave Pres,10963.00,10492.00,11289.00,11272.00,11071.00,11035.00,11269.00,11247.00,11484.00,11092.00,11048.00,11468.00,11373.00,11427.00,11490.00,11442.00,11327.00,11274.00,11360.00,11124.00,11152.00,11373.00,11419.00,11336.00,11419.00,11349.00,11243.00,11399.00,10884.00,11025.00,10796.00,11217.00,11421.00,11165.00,11331.00,11263.00,11298.00,11113.00,11330.00,11002.00,10237.00,11152.00,10825.00,10960.00,10628.00,11149.00,11130.00,10951.00,10842.00,11093.00,10871.00,10268.00,10547.00
Max Rate,67.00,70.10,64.80,70.50,70.80,70.40,70.80,71.00,70.00,71.00,70.50,67.60,66.00,68.90,70.60,70.70,70.80,71.40,71.00,70.60,72.10,71.00,71.60,71.10,71.40,70.70,70.30,71.00,68.50,71.20,70.00,71.40,71.80,69.00,70.00,71.90,70.00,70.00,71.30,71.80,70.80,70.90,70.80,70.30,70.60,71.40,71.60,71.30,69.90,70.90,71.10,70.70,70.60
Max Pres,11490.00,11510.00,11610.00,11580.00,11660.00,11720.00,11600.00,11630.00,11720.00,11520.00,11710.00,11870.00,11830.00,11800.00,11690.00,11710.00,11710.00,11820.00,11910.00,11660.00,11960.00,11750.00,11680.00,11780.00,11740.00,11710.00,11810.00,11950.00,11660.00,12090.00,11570.00,11570.00,11870.00,11600.00,11660.00,11810.00,11600.00,11530.00,12190.00,11660.00,11590.00,11820.00,11550.00,11820.00,11510.00,11560.00,11750.00,11610.00,11210.00,11690.00,11320.00,10980.00,11690.00
ISIP,6070.00,5680.00,5840.00,5990.00,5896.00,5744.00,6030.00,5850.00,5947.00,6180.00,6068.00,6175.00,6240.00,6126.00,6189.00,6180.00,6080.00,6120.00,6050.00,6100.00,6106.00,6160.00,6260.00,6234.00,6240.00,6100.00,6084.00,5990.00,6110.00,6225.00,6080.00,6168.00,6171.00,6110.00,6240.00,6111.00,6140.00,6022.00,6070.00,6116.00,6080.00,6075.00,6097.00,5991.00,6037.00,6071.00,6104.00,5926.00,5948.00,6039.00,5980.00,5951.00,5990.00
FG,0.93,0.90,0.91,0.92,0.91,0.90,0.92,0.91,0.92,0.94,0.93,0.94,0.94,0.93,0.94,0.94,0.93,0.93,0.93,0.93,0.93,0.94,0.95,0.94,0.94,0.93,0.93,0.92,0.93,0.94,0.93,0.94,0.94,0.93,0.95,0.93,0.94,0.93,0.93,0.94,0.93,0.93,0.94,0.93,0.93,0.93,0.94,0.92,0.92,0.93,0.93,0.92,0.93
Design,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00
Avg HHP,16740.00,16175.00,17681.00,18787.00,18316.00,18040.00,19334.00,19407.00,19421.00,19166.00,18224.00,18832.00,18247.00,19129.00,19572.00,19266.00,19350.00,18818.00,19323.00,18540.00,18067.00,19596.00,19423.00,19560.00,19591.00,19416.00,19289.00,19417.00,16673.00,18997.00,16908.00,19080.00,19595.00,18061.00,18885.00,19379.00,18830.00,18059.00,19439.00,18984.00,17614.00,18915.00,17882.00,18643.00,17713.00,19156.00,19177.00,18735.00,18415.00,19032.00,18758.00,17617.00,18095.00
15 minute SIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15% HCl Acid,29.00,17.00,16.00,14.00,16.00,13.00,14.00,14.00,15.00,14.00,15.00,15.00,15.00,15.00,29.00,28.00,13.00,14.00,14.00,15.00,15.00,15.00,15.00,15.00,15.00,14.00,14.00,16.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,14.00,14.00,13.00,14.00,14.00,16.00,15.00,14.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,14.00
Slickwater,11510.00,10888.00,10800.00,10830.00,10997.00,10907.00,10864.00,10885.00,10895.00,10949.00,11031.00,10952.00,11768.00,10817.00,10908.00,10873.00,10990.00,10905.00,10928.00,11130.00,11154.00,10705.00,10801.00,10748.00,10657.00,10771.00,10787.00,11089.00,11743.00,10744.00,10895.00,13463.00,10846.00,11105.00,10915.00,10747.00,11335.00,10576.00,10726.00,10784.00,11032.00,10956.00,11399.00,11250.00,10760.00,10832.00,10825.00,10854.00,10724.00,10660.00,10769.00,10734.00,10375.00
Pump Down,337.00,299.00,273.00,272.00,262.00,258.00,252.00,216.00,224.00,238.00,206.00,188.00,221.00,205.00,188.00,212.00,222.00,210.00,188.00,190.00,166.00,196.00,144.00,140.00,170.00,170.00,162.00,154.00,139.00,119.00,121.00,118.00,109.00,101.00,100.00,98.00,435.00,74.00,70.00,78.00,57.00,69.00,56.00,46.00,44.00,43.00,31.00,29.00,25.00,23.00,16.00,14.00,0.00
Total Fluid,11876.00,11204.00,11089.00,11116.00,11274.00,11178.00,11130.00,11115.00,11133.00,11201.00,11252.00,11155.00,12004.00,11037.00,11125.00,11113.00,11225.00,11129.00,11130.00,11335.00,11335.00,10916.00,10960.00,10903.00,10842.00,10955.00,10962.00,11259.00,11897.00,10878.00,11031.00,13596.00,10970.00,11221.00,11030.00,10859.00,11784.00,10663.00,10810.00,10875.00,11105.00,11041.00,11468.00,11311.00,10819.00,10889.00,10871.00,10898.00,10764.00,10698.00,10800.00,10763.00,10389.00
100 Mesh,504040.00,501300.00,502480.00,496040.00,500940.00,499260.00,502240.00,505980.00,506560.00,502700.00,503640.00,501960.00,500220.00,497520.00,502520.00,499400.00,503240.00,492920.00,506400.00,499820.00,501560.00,494500.00,499200.00,497380.00,495280.00,493740.00,506240.00,506240.00,504000.00,503760.00,505100.00,500060.00,492200.00,499860.00,507740.00,496060.00,507000.00,504540.00,496680.00,502020.00,511440.00,506100.00,502540.00,506800.00,495040.00,513600.00,504180.00,506220.00,508400.00,502420.00,501020.00,497940.00,502920.00
Total Proppant,504040.00,501300.00,502480.00,496040.00,500940.00,499260.00,502240.00,505980.00,506560.00,502700.00,503640.00,501960.00,500220.00,497520.00,502520.00,499400.00,503240.00,492920.00,506400.00,499820.00,501560.00,494500.00,499200.00,497380.00,495280.00,493740.00,506240.00,506240.00,504000.00,503760.00,505100.00,500060.00,492200.00,499860.00,507740.00,496060.00,507000.00,504540.00,496680.00,502020.00,511440.00,506100.00,502540.00,506800.00,495040.00,513600.00,504180.00,506220.00,508400.00,502420.00,501020.00,497940.00,502920.00
100 Mesh,504040.00,501300.00,502480.00,496040.00,500940.00,499260.00,502240.00,505980.00,506560.00,502700.00,503640.00,501960.00,500220.00,497520.00,502520.00,499400.00,503240.00,492920.00,506400.00,499820.00,501560.00,494500.00,499200.00,497380.00,495280.00,493740.00,506240.00,506240.00,504000.00,503760.00,505100.00,500060.00,492200.00,499860.00,507740.00,496060.00,507000.00,504540.00,496680.00,502020.00,511440.00,506100.00,502540.00,506800.00,495040.00,513600.00,504180.00,506220.00,508400.00,502420.00,501020.00,497940.00,502920.00
Delivered Total Prop,504040.00,501300.00,502480.00,496040.00,500940.00,499260.00,502240.00,505980.00,506560.00,502700.00,503640.00,501960.00,500220.00,497520.00,502520.00,499400.00,503240.00,492920.00,506400.00,499820.00,501560.00,494500.00,499200.00,497380.00,495280.00,493740.00,506240.00,506240.00,504000.00,503760.00,505100.00,500060.00,492200.00,499860.00,507740.00,496060.00,507000.00,504540.00,496680.00,502020.00,511440.00,506100.00,502540.00,506800.00,495040.00,513600.00,504180.00,506220.00,508400.00,502420.00,501020.00,497940.00,502920.00
"Plexslick 957, gal",485.00,337.00,356.00,308.00,308.00,298.00,342.00,328.00,454.00,389.00,340.00,418.00,375.00,473.00,449.00,453.00,383.00,427.00,454.00,390.00,401.00,423.00,402.00,419.00,403.00,402.00,417.00,418.00,356.00,364.00,378.00,493.00,338.00,386.00,319.00,377.00,456.00,296.00,308.00,358.00,417.00,376.00,340.00,322.00,322.00,259.00,285.00,272.00,273.00,241.00,277.00,241.00,246.00
"Chemplex 4-N-1, gal",7.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,7.00,7.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
"Payzone 845, gal",97.00,92.00,90.00,90.00,92.00,92.00,92.00,92.00,92.00,92.00,93.00,92.00,100.00,91.00,92.00,92.00,92.00,92.00,92.00,95.00,94.00,92.00,92.00,90.00,89.00,90.00,90.00,93.00,100.00,90.00,92.00,114.00,91.00,94.00,91.00,90.00,95.00,89.00,90.00,90.00,92.00,92.00,96.00,94.00,92.00,92.00,90.00,91.00,89.00,89.00,90.00,90.00,87.00
"Payzone 850, gal",36.00,34.00,34.00,34.00,35.00,34.00,34.00,34.00,34.00,34.00,35.00,35.00,37.00,34.00,34.00,34.00,34.00,34.00,34.00,35.00,35.00,34.00,34.00,34.00,34.00,34.00,34.00,35.00,37.00,34.00,34.00,43.00,34.00,35.00,34.00,34.00,36.00,33.00,34.00,34.00,34.00,34.00,36.00,35.00,34.00,34.00,34.00,34.00,33.00,33.00,34.00,34.00,33.00
"Payzone 217, gal",97.00,92.00,90.00,90.00,92.00,92.00,92.00,92.00,92.00,92.00,93.00,92.00,100.00,91.00,92.00,92.00,92.00,92.00,92.00,95.00,94.00,92.00,92.00,90.00,89.00,90.00,90.00,93.00,100.00,90.00,92.00,114.00,91.00,94.00,91.00,90.00,95.00,89.00,90.00,90.00,92.00,92.00,96.00,94.00,92.00,92.00,90.00,91.00,89.00,89.00,90.00,90.00,87.00
"Stim741 Gel, gal",20.00,20.00,20.00,20.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,30.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,20.00,10.00,10.00,25.00,10.00,20.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,0.00
"15% HCl Acid, gal",1206.00,715.00,681.00,599.00,652.00,554.00,575.00,596.00,609.00,588.00,633.00,636.00,633.00,628.00,1224.00,1161.00,546.00,600.00,599.00,625.00,631.00,633.00,633.00,631.00,625.00,596.00,575.00,686.00,644.00,625.00,625.00,633.00,633.00,633.00,625.00,604.00,586.00,565.00,596.00,575.00,686.00,644.00,586.00,609.00,609.00,620.00,631.00,633.00,636.00,633.00,628.00,617.00,596.00
Well Name,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H,Silvertip A 5H
