Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
100 Mesh,499020.00,500800.00,495780.00,493700.00,495260.00,496840.00,501540.00,497580.00,507180.00,501580.00,501800.00,501890.00,499760.00,494840.00,495420.00,506920.00,500160.00,505540.00,501960.00,503640.00,495780.00,502280.00,500260.00,501040.00,503820.00,507140.00,505080.00,499680.00,501940.00,498900.00,500840.00,498320.00,499780.00,507620.00,504380.00,503280.00,490110.00,495800.00,512120.00,497560.00,508800.00,497020.00,506560.00,511060.00,499360.00,506580.00,501060.00,501980.00,501900.00,502120.00,503980.00,501140.00
Delivered Total Prop,499020.00,500800.00,495780.00,493700.00,495260.00,496840.00,501540.00,497580.00,507180.00,501580.00,501800.00,501890.00,499760.00,494840.00,495420.00,506920.00,500160.00,505540.00,501960.00,503640.00,495780.00,502280.00,500260.00,501040.00,503820.00,507140.00,505080.00,499680.00,501940.00,498900.00,500840.00,498320.00,499780.00,507620.00,504380.00,503280.00,490110.00,495800.00,512120.00,497560.00,508800.00,497020.00,506560.00,511060.00,499360.00,506580.00,501060.00,501980.00,501900.00,502120.00,503980.00,501140.00
"Plexslick 957, gal",460.00,415.00,373.00,513.00,472.00,392.00,453.00,390.00,488.00,457.00,456.00,456.00,453.00,452.00,464.00,463.00,485.00,460.00,384.00,470.00,470.00,412.00,466.00,470.00,391.00,338.00,470.00,421.00,365.00,428.00,455.00,474.00,357.00,340.00,425.00,350.00,318.00,350.00,322.00,447.00,340.00,310.00,411.00,360.00,285.00,393.00,360.00,306.00,315.00,330.00,281.00,315.00
"Chemplex 4-N-1, gal",7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,8.00,7.00,7.00,7.00,8.00,8.00,8.00,7.00,7.00,7.00,8.00,7.00,8.00,8.00,8.00,7.00,7.00,7.00,7.00,7.00,7.00,8.00,8.00,8.00,7.00,8.00,7.00,7.00,7.00,7.00,7.00,8.00,8.00,7.00,7.00,8.00,7.00,7.00,7.00
"Payzone 845, gal",91.00,92.00,91.00,115.00,92.00,90.00,92.00,93.00,97.00,93.00,92.00,90.00,88.00,89.00,90.00,94.00,91.00,91.00,90.00,91.00,90.00,90.00,95.00,90.00,91.00,91.00,91.00,90.00,91.00,91.00,91.00,100.00,91.00,90.00,93.00,91.00,90.00,91.00,90.00,88.00,91.00,91.00,91.00,90.00,91.00,90.00,89.00,88.00,92.00,90.00,88.00,89.00
"Payzone 850, gal",35.00,35.00,34.00,43.00,34.00,34.00,34.00,35.00,35.00,34.00,34.00,34.00,33.00,33.00,34.00,35.00,34.00,34.00,34.00,35.00,33.00,34.00,37.00,33.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,38.00,34.00,34.00,35.00,34.00,34.00,35.00,34.00,33.00,34.00,35.00,34.00,35.00,35.00,35.00,33.00,34.00,35.00,34.00,33.00,34.00
"Payzone 217, gal",91.00,92.00,91.00,115.00,92.00,90.00,92.00,93.00,97.00,93.00,92.00,90.00,88.00,89.00,90.00,94.00,91.00,91.00,90.00,91.00,90.00,90.00,95.00,90.00,91.00,91.00,91.00,90.00,91.00,91.00,91.00,100.00,91.00,90.00,93.00,91.00,90.00,91.00,90.00,88.00,91.00,91.00,91.00,90.00,91.00,90.00,89.00,88.00,92.00,90.00,88.00,89.00
"Stim741 Gel, gal",10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
"15% HCl Acid, gal",,4130.00,3354.00,4272.00,3349.00,4129.00,3473.00,3956.00,3892.00,3943.00,3906.00,3823.00,3379.00,3395.00,3227.00,3475.00,3344.00,4553.00,3725.00,3478.00,3508.00,4052.00,3671.00,3747.00,4052.00,3467.00,3648.00,3700.00,3826.00,3819.00,3495.00,3979.00,3300.00,4032.00,3289.00,3569.00,3431.00,1321.00,3596.00,3303.00,3552.00,2347.00,3226.00,3225.00,3703.00,2965.00,2899.00,3408.00,3265.00,3144.00,3210.00,3771.00
"15% HCl Acid, gal",1269.00,1245.00,1197.00,1251.00,1206.00,1163.00,1172.00,1150.00,1219.00,1269.00,1264.00,1229.00,1172.00,1285.00,1190.00,1160.00,1224.00,1261.00,1269.00,1256.00,1211.00,1140.00,1156.00,1288.00,1219.00,1259.00,1269.00,1259.00,1219.00,1150.00,1227.00,1206.00,1172.00,1230.00,1264.00,1269.00,1251.00,1206.00,1261.00,1230.00,1156.00,1222.00,1179.00,1237.00,1264.00,1269.00,1245.00,1178.00,1251.00,1206.00,1179.00,1235.00
Well Name,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H,Silvertip A 8H
