Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Total Proppant,495420.00,497560.00,500110.00,499860.00,494660.00,492100.00,499020.00,499440.00,499080.00,495560.00,498200.00,503180.00,498940.00,496240.00,496520.00,504720.00,501520.00,503080.00,500940.00,498800.00,500080.00,505900.00,501220.00,503700.00,504380.00,502620.00,505700.00,503040.00,496660.00,496740.00,503860.00,507380.00,504080.00,502300.00,504220.00,503700.00,501640.00,505700.00,504380.00,504840.00,503940.00,508840.00,508880.00,500580.00,503780.00,504900.00,504960.00,502920.00,498640.00,494760.00,509100.00,504200.00,498260.00
100 Mesh,495420.00,497560.00,500110.00,499860.00,494660.00,492100.00,499020.00,499440.00,499080.00,495560.00,498200.00,503180.00,498940.00,496240.00,496520.00,504720.00,501520.00,503080.00,500940.00,498800.00,500080.00,505900.00,501220.00,503700.00,504380.00,502620.00,505700.00,503040.00,496660.00,496740.00,503860.00,507380.00,504080.00,502300.00,504220.00,503700.00,501640.00,505700.00,504380.00,504840.00,503940.00,508840.00,508880.00,500580.00,503780.00,504900.00,504960.00,502920.00,498640.00,494760.00,509100.00,504200.00,498260.00
Delivered Total Prop,495420.00,497560.00,500110.00,499860.00,494660.00,492100.00,499020.00,499440.00,499080.00,495560.00,498200.00,503180.00,498940.00,496240.00,496520.00,504720.00,501520.00,503080.00,500940.00,498800.00,500080.00,505900.00,501220.00,503700.00,504380.00,502620.00,505700.00,503040.00,496660.00,496740.00,503860.00,507380.00,504080.00,502300.00,504220.00,503700.00,501640.00,505700.00,504380.00,504840.00,503940.00,508840.00,508880.00,500580.00,503780.00,504900.00,504960.00,502920.00,498640.00,494760.00,509100.00,504200.00,498260.00
"Plexslick 957, gal",445.00,430.00,417.00,448.00,442.00,356.00,470.00,452.00,425.00,451.00,452.00,349.00,430.00,333.00,351.00,380.00,410.00,320.00,430.00,360.00,327.00,356.00,415.00,350.00,298.00,369.00,356.00,310.00,263.00,300.00,310.00,388.00,277.00,490.00,326.00,247.00,285.00,265.00,250.00,258.00,290.00,266.00,240.00,295.00,270.00,209.00,244.00,230.00,225.00,206.00,233.00,256.00,282.00
"Chemplex 4-N-1, gal",7.00,8.00,8.00,8.00,7.00,8.00,7.00,8.00,7.00,8.00,8.00,8.00,7.00,8.00,8.00,8.00,8.00,8.00,7.00,8.00,8.00,6.00,4.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
"Payzone 845, gal",102.00,90.00,91.00,90.00,90.00,93.00,90.00,93.00,91.00,90.00,89.00,90.00,89.00,89.00,89.00,90.00,90.00,89.00,90.00,90.00,91.00,90.00,94.00,90.00,90.00,92.00,88.00,89.00,88.00,90.00,90.00,93.00,88.00,95.00,90.00,89.00,88.00,87.00,89.00,91.00,89.00,90.00,90.00,90.00,90.00,89.00,94.00,89.00,87.00,89.00,89.00,87.00,85.00
"Payzone 850, gal",37.00,34.00,35.00,35.00,35.00,35.00,34.00,35.00,35.00,34.00,33.00,34.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,33.00,34.00,34.00,34.00,33.00,34.00,35.00,32.00,33.00,33.00,34.00,33.00,35.00,33.00,35.00,34.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,33.00,35.00,33.00,33.00,34.00,34.00,33.00,33.00
"Payzone 217, gal",102.00,90.00,91.00,90.00,90.00,93.00,90.00,93.00,91.00,90.00,89.00,90.00,89.00,89.00,89.00,90.00,90.00,89.00,90.00,90.00,91.00,90.00,94.00,90.00,90.00,92.00,88.00,89.00,88.00,90.00,90.00,93.00,88.00,95.00,90.00,89.00,88.00,87.00,89.00,91.00,89.00,90.00,90.00,90.00,90.00,89.00,94.00,89.00,87.00,89.00,89.00,87.00,85.00
"Stim741 Gel, gal",10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,20.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,15.00,15.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,20.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
"15% HCl Acid, gal",3968.00,3391.00,4204.00,3857.00,3016.00,4281.00,2658.00,3412.00,3825.00,3690.00,3545.00,3553.00,4023.00,3853.00,3937.00,4010.00,3459.00,3815.00,3547.00,3573.00,3633.00,3450.00,4210.00,3326.00,4206.00,3707.00,3457.00,2682.00,3817.00,3800.00,3591.00,3649.00,3636.00,4123.00,2659.00,3699.00,3077.00,3713.00,3352.00,3523.00,3889.00,3881.00,3997.00,3298.00,3214.00,3649.00,3447.00,3727.00,3370.00,3308.00,3504.00,3168.00,2337.00
15% HCL gal,1219.00,1259.00,1269.00,1258.00,1219.00,1250.00,1172.00,1301.00,1224.00,1261.00,1269.00,1256.00,1211.00,1280.00,1251.00,1285.00,1293.00,1301.00,1224.00,1261.00,1269.00,945.00,617.00,905.00,733.00,686.00,644.00,586.00,697.00,641.00,688.00,575.00,596.00,610.00,620.00,631.00,633.00,636.00,633.00,631.00,620.00,609.00,596.00,715.00,546.00,644.00,628.00,599.00,652.00,554.00,575.00,596.00,610.00
Well Name,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H,Silvertip B 2H
