Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
15 minute SIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15% HCl Acid,29.00,30.00,26.00,30.00,29.00,30.00,29.00,30.00,29.00,28.00,30.00,30.00,30.00,30.00,29.00,30.00,28.00,27.00,29.00,30.00,27.00,29.00,30.00,30.00,30.00,30.00,29.00,29.00,29.00,28.00,29.00,30.00,30.00,30.00,29.00,30.00,31.00,27.00,29.00,30.00,30.00,30.00,29.00,27.00,30.00,29.00,30.00,30.00,30.00,29.00,30.00,30.00,30.00
Slickwater,12077.00,8958.00,13194.00,14223.00,12109.00,11793.00,14573.00,13813.00,12350.00,11393.00,11452.00,11363.00,16412.00,11526.00,12920.00,11612.00,11231.00,10998.00,10944.00,12530.00,12853.00,11513.00,12068.00,11866.00,11646.00,11112.00,11336.00,11327.00,11449.00,13291.00,12730.00,14257.00,12692.00,13251.00,11474.00,11441.00,11432.00,11724.00,11632.00,11516.00,11796.00,11446.00,11261.00,12030.00,11487.00,11305.00,11825.00,11491.00,11517.00,11372.00,11451.00,11667.00,11605.00
Pump Down,255.00,250.00,241.00,240.00,224.00,210.00,191.00,213.00,222.00,195.00,180.00,212.00,194.00,174.00,203.00,164.00,179.00,206.00,171.00,154.00,152.00,147.00,137.00,138.00,141.00,136.00,123.00,117.00,99.00,98.00,100.00,98.00,80.00,88.00,79.00,75.00,68.00,61.00,64.00,56.00,59.00,55.00,63.00,36.00,45.00,35.00,28.00,38.00,25.00,21.00,50.00,10.00,0.00
Total Fluid,12362.00,9238.00,13462.00,14493.00,12362.00,12033.00,14793.00,14056.00,12600.00,11617.00,11661.00,11606.00,16635.00,11730.00,13152.00,11806.00,11438.00,11231.00,11144.00,12714.00,13032.00,11689.00,12234.00,12034.00,11817.00,11277.00,11488.00,11473.00,11577.00,13417.00,12860.00,14385.00,12802.00,13369.00,11582.00,11546.00,11530.00,11813.00,11725.00,11602.00,11886.00,11531.00,11352.00,12093.00,11562.00,11368.00,11883.00,11559.00,11572.00,11422.00,11531.00,11707.00,11635.00
100 Mesh,443960.00,248520.00,502480.00,504680.00,496340.00,484500.00,498860.00,494120.00,500040.00,500640.00,252460.00,498460.00,508040.00,499200.00,502060.00,511460.00,498440.00,503580.00,497560.00,508010.00,499900.00,497840.00,506460.00,502880.00,491720.00,505200.00,505170.00,495600.00,508600.00,500800.00,501020.00,495640.00,506060.00,500100.00,499840.00,501440.00,503200.00,499480.00,501340.00,500980.00,495980.00,504060.00,499300.00,499140.00,503600.00,505960.00,504920.00,501680.00,502440.00,494880.00,503760.00,503380.00,497760.00
Total Proppant,443960.00,248520.00,502480.00,504680.00,496340.00,484500.00,498860.00,494120.00,500040.00,500640.00,252460.00,498460.00,508040.00,499200.00,502060.00,511460.00,498440.00,503580.00,497560.00,508010.00,499900.00,497840.00,506460.00,502880.00,491720.00,505200.00,505170.00,495600.00,508600.00,500800.00,501020.00,495640.00,506060.00,500100.00,499840.00,501440.00,503200.00,499480.00,501340.00,500980.00,495980.00,504060.00,499300.00,499140.00,503600.00,505960.00,504920.00,501680.00,502440.00,494880.00,503760.00,503380.00,497760.00
100 Mesh,443960.00,248520.00,502480.00,504680.00,496340.00,484500.00,498860.00,494120.00,500040.00,500640.00,252460.00,498460.00,508040.00,499200.00,502060.00,511460.00,498440.00,503580.00,497560.00,508010.00,499900.00,497840.00,506460.00,502880.00,491720.00,505200.00,505170.00,495600.00,508600.00,500800.00,501020.00,495640.00,506060.00,500100.00,499840.00,501440.00,503200.00,499480.00,501340.00,500980.00,495980.00,504060.00,499300.00,499140.00,503600.00,505960.00,504920.00,501680.00,502440.00,494880.00,503760.00,503380.00,497760.00
Delivered Total Prop,443960.00,248520.00,502480.00,504680.00,496340.00,484500.00,498860.00,494120.00,500040.00,500640.00,252460.00,498460.00,508040.00,499200.00,502060.00,511460.00,498440.00,503580.00,497560.00,508010.00,499900.00,497840.00,506460.00,502880.00,491720.00,505200.00,505170.00,495600.00,508600.00,500800.00,501020.00,495640.00,506060.00,500100.00,499840.00,501440.00,503200.00,499480.00,501340.00,500980.00,495980.00,504060.00,499300.00,499140.00,503600.00,505960.00,504920.00,501680.00,502440.00,494880.00,503760.00,503380.00,497760.00
Plexslick 957 gal,511.00,366.00,570.00,596.00,503.00,483.00,603.00,606.00,514.00,473.00,495.00,472.00,531.00,479.00,536.00,482.00,468.00,462.00,454.00,536.00,550.00,477.00,502.00,494.00,486.00,461.00,471.00,471.00,476.00,556.00,530.00,596.00,533.00,553.00,477.00,475.00,477.00,489.00,482.00,473.00,496.00,402.00,474.00,500.00,478.00,472.00,492.00,478.00,481.00,474.00,477.00,487.00,485.00
Chemplex 4-N-1 gal,7.00,8.00,7.00,8.00,7.00,8.00,7.00,8.00,7.00,7.00,7.00,8.00,7.00,8.00,7.00,8.00,7.00,7.00,7.00,8.00,7.00,7.00,8.00,8.00,8.00,8.00,7.00,7.00,7.00,7.00,7.00,8.00,8.00,8.00,7.00,8.00,8.00,7.00,7.00,8.00,8.00,8.00,7.00,7.00,8.00,7.00,8.00,8.00,8.00,7.00,8.00,8.00,8.00
Payzone 845 gal,99.00,67.00,111.00,118.00,102.00,99.00,123.00,116.00,104.00,96.00,98.00,96.00,137.00,98.00,108.00,98.00,95.00,93.00,92.00,105.00,110.00,97.00,101.00,99.00,98.00,92.00,95.00,96.00,96.00,113.00,107.00,122.00,107.00,113.00,96.00,94.00,96.00,98.00,99.00,98.00,99.00,95.00,96.00,100.00,96.00,95.00,100.00,96.00,97.00,95.00,95.00,98.00,96.00
Payzone 850 gal,38.00,28.00,42.00,46.00,38.00,37.00,46.00,45.00,39.00,36.00,37.00,36.00,52.00,37.00,41.00,37.00,35.00,35.00,35.00,39.00,41.00,36.00,38.00,37.00,37.00,35.00,36.00,36.00,36.00,43.00,40.00,46.00,40.00,42.00,36.00,35.00,36.00,37.00,37.00,37.00,37.00,36.00,36.00,38.00,36.00,36.00,38.00,36.00,36.00,36.00,36.00,37.00,36.00
Payzone 217 gal,99.00,67.00,111.00,118.00,102.00,99.00,123.00,116.00,104.00,96.00,98.00,96.00,137.00,98.00,108.00,98.00,95.00,93.00,92.00,105.00,110.00,97.00,101.00,99.00,98.00,92.00,95.00,96.00,96.00,113.00,107.00,122.00,107.00,113.00,96.00,94.00,96.00,98.00,99.00,98.00,99.00,95.00,96.00,100.00,96.00,95.00,100.00,96.00,97.00,95.00,95.00,98.00,96.00
Stim741 Gel gal,30.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,30.00,20.00,30.00,20.00,20.00,20.00,30.00,20.00,30.00,30.00,20.00,30.00,20.00,20.00,30.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,15.00,20.00,10.00,20.00,10.00,10.00,10.00,10.00,20.00,10.00,10.00,10.00,10.00,10.00,0.00
15% HCl Acid gal,1237.00,1264.00,1111.00,1251.00,1206.00,1261.00,1227.00,1251.00,1211.00,1190.00,1240.00,1269.00,1240.00,1251.00,1206.00,1261.00,1172.00,1150.00,1219.00,1275.00,1150.00,1219.00,1259.00,1269.00,1269.00,1251.00,1206.00,1227.00,1206.00,1172.00,1230.00,1264.00,1269.00,1251.00,1206.00,1275.00,1293.00,1150.00,1219.00,1259.00,1269.00,1256.00,1211.00,1140.00,1275.00,1211.00,1256.00,1269.00,1259.00,1219.00,1275.00,1251.00,1277.00
Well Name,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H,Silvertip A 1H
