,,,,WELL TREATMENT SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator:,Anadarko Petroleum Corporation,,,Formation:,Wolfcamp Upper Delta,,"12,244 ft","5-1/2""",23.00 lbs,P-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well Name:,SilverTip 76-7 Unit A 1H,,,AFE:,2121783.CMP,,"11,239 ft","4-1/2""",13.50 lbs,P-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer:,Allie Lay,,,Max Psi:,"12,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Loving County Tx,,,Job Type:,53-Stage SW Plug & Perf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Company:,PumpCo 2,,,,Odessa,,,Julian Weaver/ Jarvis Weaver ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage,AVERAGE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,Total
"Max Rate, bpm",65.2,67.0,57.0,58.5,59.5,63.5,62.8,66.0,62.0,63.7,61.3,59.5,63.9,62.0,63.7,63.8,65.0,66.0,65.0,63.7,66.0,64.5,65.9,63.0,64.9,66.3,66.0,62.3,67.4,65.0,64.0,65.4,65.0,66.2,62.0,64.2,62.5,62.1,67.7,67.1,61.7,69.2,63.5,68.2,68.5,65.6,70.5,69.7,71.3,70.8,71.3,69.8,71.2,71.6,,,,,,,,,,,,,,,,,,,,,,,
"Max Pressure, psi","12,189","13,500","12,230","12,350","12,270","12,300","12,150","12,310","12,160","12,250","12,250","12,270","12,280","12,410","12,310","12,330","12,280","12,390","12,370","12,425","12,450","12,330","12,470","12,520","12,330","12,480","12,270","11,940","12,390","12,310","12,450","12,450","12,320","12,405","12,350","12,210","12,240","12,020","12,110","11,990","11,980","11,840","12,420","11,940","12,395","11,600","11,700","12,120","11,590","11,340","11,790","11,590","11,160","11,700",,,,,,,,,,,,,,,,,,,,,,,
"ISIP, psi","6,209","6,340","6,555","5,730","5,800","6,020","6,085","5,985","6,210","6,310","6,257","6,260","7,640","5,610","6,240","6,242","5,980","6,093","6,025","6,308","6,240","6,110","6,092","6,220","6,030","6,475","6,185","5,990","6,227","6,430","6,880","6,715","6,990","6,622","6,295","6,279","6,040","6,020","6,042","6,170","6,000","6,090","6,040","6,074","6,139","6,060","6,242","6,127","6,150","6,021","6,247","6,050","5,970","6,108",,,,,,,,,,,,,,,,,,,,,,,
"FG, psi/ft",0.930,0.939,0.956,0.890,0.896,0.914,0.920,0.911,0.929,0.937,0.932,0.933,1.043,0.881,0.931,0.932,0.911,0.920,0.914,0.937,0.932,0.921,0.920,0.930,0.916,0.952,0.928,0.912,0.931,0.947,0.983,0.970,0.992,0.963,0.937,0.936,0.917,0.915,0.917,0.928,0.914,0.921,0.917,0.920,0.925,0.919,0.934,0.924,0.926,0.916,0.935,0.919,0.912,0.923,,,,,,,,,,,,,,,,,,,,,,,
"Design, bbl/ft",55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,,,,,,,,,,,,,,,,,,,,,,,
Avg HHP,"17,067","15,497","16,499","15,882","16,555","17,165","16,794","18,073","15,959","15,363","17,097","15,856","17,959","15,038","16,831","18,396","17,999","15,571","17,173","17,503","18,655","17,768","17,908","17,600","17,217","16,912","16,963","15,596","18,807","17,643","16,093","17,293","17,855","18,588","15,993","15,966","15,942","14,535","17,477","15,642","15,945","15,693","16,461","18,032","18,109","16,908","18,279","17,624","18,593","18,208","18,689","17,643","17,748","18,943",,,,,,,,,,,,,,,,,,,,,,,
"15 minute SIP, psi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15% HCl Acid, bbl",29,29,30,26,30,29,30,29,30,29,28,30,30,30,30,29,30,28,27,29,30,27,29,30,30,30,30,29,29,29,28,29,30,30,30,29,30,31,27,29,30,30,30,29,27,30,29,30,30,30,29,30,30,30,,,,,,,,,,,,,,,,,,,,,,,"1,555"
"Slickwater, bbl","12,006","12,077","8,958","13,194","14,223","12,109","11,793","14,573","13,813","12,350","11,393","11,452","11,363","16,412","11,526","12,920","11,612","11,231","10,998","10,944","12,530","12,853","11,513","12,068","11,866","11,646","11,112","11,336","11,327","11,449","13,291","12,730","14,257","12,692","13,251","11,474","11,441","11,432","11,724","11,632","11,516","11,796","11,446","11,261","12,030","11,487","11,305","11,825","11,491","11,517","11,372","11,451","11,667","11,605",,,,,,,,,,,,,,,,,,,,,,,"636,333"
"Pump Down, bbl",125,255,250,241,240,224,210,191,213,222,195,180,212,194,174,203,164,179,206,171,154,152,147,137,138,141,136,123,117,99,98,100,98,80,88,79,75,68,61,64,56,59,55,63,36,45,35,28,38,25,21,50,10,0,,,,,,,,,,,,,,,,,,,,,,,"6,600"
