Stage,AVERAGE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
"Pump Down, bbl",125,255,250,241,240,224,210,191,213,222,195,180,212,194,174,203,164,179,206,171,154,152,147,137,138,141,136,123,117,99,98,100,98,80,88,79,75,68,61,64,56,59,55,63,36,45,35,28,38,25,21,50,10,0
"Total Fluid, bbl",12160,12362,9238,13462,14493,12362,12033,14793,14056,12600,11617,11661,11606,16635,11730,13152,11806,11438,11231,11144,12714,13032,11689,12234,12034,11817,11277,11488,11473,11577,13417,12860,14385,12802,13369,11582,11546,11530,11813,11725,11602,11886,11531,11352,12093,11562,11368,11883,11559,11572,11422,11531,11707,11635
"100 Mesh, lb",490444,443960,248520,502480,504680,496340,484500,498860,494120,500040,500640,252460,498460,508040,499200,502060,511460,498440,503580,497560,508010,499900,497840,506460,502880,491720,505200,505170,495600,508600,500800,501020,495640,506060,500100,499840,501440,503200,499480,501340,500980,495980,504060,499300,499140,503600,505960,504920,501680,502440,494880,503760,503380,497760
"Total Proppant, lb",490444,443960,248520,502480,504680,496340,484500,498860,494120,500040,500640,252460,498460,508040,499200,502060,511460,498440,503580,497560,508010,499900,497840,506460,502880,491720,505200,505170,495600,508600,500800,501020,495640,506060,500100,499840,501440,503200,499480,501340,500980,495980,504060,499300,499140,503600,505960,504920,501680,502440,494880,503760,503380,497760
"100 Mesh, lb",490444,443960,248520,502480,504680,496340,484500,498860,494120,500040,500640,252460,498460,508040,499200,502060,511460,498440,503580,497560,508010,499900,497840,506460,502880,491720,505200,505170,495600,508600,500800,501020,495640,506060,500100,499840,501440,503200,499480,501340,500980,495980,504060,499300,499140,503600,505960,504920,501680,502440,494880,503760,503380,497760
"Delivered Total Prop, lb",490444,443960,248520,502480,504680,496340,484500,498860,494120,500040,500640,252460,498460,508040,499200,502060,511460,498440,503580,497560,508010,499900,497840,506460,502880,491720,505200,505170,495600,508600,500800,501020,495640,506060,500100,499840,501440,503200,499480,501340,500980,495980,504060,499300,499140,503600,505960,504920,501680,502440,494880,503760,503380,497760
"Plexslick 957, gal",497,511,366,570,596,503,483,603,606,514,473,495,472,531,479,536,482,468,462,454,536,550,477,502,494,486,461,471,471,476,556,530,596,533,553,477,475,477,489,482,473,496,402,474,500,478,472,492,478,481,474,477,487,485
"Chemplex 4-N-1, gal",8,7,8,7,8,7,8,7,8,7,7,7,8,7,8,7,8,7,7,7,8,7,7,8,8,8,8,7,7,7,7,7,8,8,8,7,8,8,7,7,8,8,8,7,7,8,7,8,8,8,7,8,8,8
"Payzone 845, gal",101,99,67,111,118,102,99,123,116,104,96,98,96,137,98,108,98,95,93,92,105,110,97,101,99,98,92,95,96,96,113,107,122,107,113,96,94,96,98,99,98,99,95,96,100,96,95,100,96,97,95,95,98,96
"Payzone 850, gal",38,38,28,42,46,38,37,46,45,39,36,37,36,52,37,41,37,35,35,35,39,41,36,38,37,37,35,36,36,36,43,40,46,40,42,36,35,36,37,37,37,37,36,36,38,36,36,38,36,36,36,36,37,36
"Payzone 217, gal",101,99,67,111,118,102,99,123,116,104,96,98,96,137,98,108,98,95,93,92,105,110,97,101,99,98,92,95,96,96,113,107,122,107,113,96,94,96,98,99,98,99,95,96,100,96,95,100,96,97,95,95,98,96
"Stim741 Gel, gal",19,30,20,20,20,20,20,20,20,20,20,30,20,30,20,20,20,30,20,30,30,20,30,20,20,30,20,20,20,20,20,20,20,20,20,20,20,20,20,15,20,10,20,10,10,10,10,20,10,10,10,10,10,0
"15% HCl Acid, gal",1232,1237,1264,1111,1251,1206,1261,1227,1251,1211,1190,1240,1269,1240,1251,1206,1261,1172,1150,1219,1275,1150,1219,1259,1269,1269,1251,1206,1227,1206,1172,1230,1264,1269,1251,1206,1275,1293,1150,1219,1259,1269,1256,1211,1140,1275,1211,1256,1269,1259,1219,1275,1251,1277
